Precinct,County,Registered Voters,Mark Harrell (I) (Dem)_Election Day Votes,Mark Harrell (I) (Dem)_Advanced Voting Votes,Mark Harrell (I) (Dem)_Absentee by Mail Votes,Mark Harrell (I) (Dem)_Provisional Votes,Mark Harrell (I) (Dem)_Choice Total,Total,
Mt Pleasant,Decatur,564,112,209,44,0,365,365,
Recovery,Decatur,678,139,150,117,2,408,408,
Kendrick,Decatur,566,125,163,56,1,345,345,
Climax,Decatur,975,191,321,100,1,613,613,
Brinson,Decatur,836,149,292,74,0,515,515,
West Bainbridge,Decatur,2238,190,838,266,1,1295,1295,
Bainbridge-Coliseum,Decatur,5641,477,2318,703,3,3501,3501,
BDGE-Fairgrounds,Decatur,3308,281,1231,389,2,1903,1903,
Attapulgus,Decatur,1812,245,548,318,3,1114,1114,
