Precinct,County,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
Mt Pleasant,Decatur,564,132,221,46,0,399,399,
Recovery,Decatur,678,174,157,102,2,435,435,
Kendrick,Decatur,566,129,179,42,0,350,350,
Climax,Decatur,975,213,352,74,2,641,641,
Brinson,Decatur,836,159,287,64,0,510,510,
West Bainbridge,Decatur,2238,178,739,171,1,1089,1089,
Bainbridge-Coliseum,Decatur,5641,418,2134,569,3,3124,3124,
BDGE-Fairgrounds,Decatur,3308,253,1058,257,1,1569,1569,
Attapulgus,Decatur,1812,211,408,212,2,833,833,
