Precinct,County,Registered Voters,Jordan Raper (I) (Rep)_Election Day Votes,Jordan Raper (I) (Rep)_Advanced Voting Votes,Jordan Raper (I) (Rep)_Absentee by Mail Votes,Jordan Raper (I) (Rep)_Provisional Votes,Jordan Raper (I) (Rep)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,546,1126,318,0,1990,1990,,
02 Bethlehem Church - 211,Barrow,6784,824,2734,826,0,4384,4384,
03 Hmong New Hope Alliance Church 6364,Barrow,998,1904,642,1,3545,3545,,
04 Covenant Life Sanctuary,Barrow,4012,517,1300,386,0,2203,2203,
05 Fire Station 1 (Statham),Barrow,8336,1088,3057,874,0,5019,5019,
08 First Baptist Church Winder7009,Barrow,823,2760,702,0,4285,4285,,
13 Winder Community Center,Barrow,9393,899,2922,861,0,4682,4682,
16 The Church at Winder,Barrow,10348,1209,3441,998,2,5650,5650,
