Precinct,County,Registered Voters,Janie Jones (Rep)_Election Day Votes,Janie Jones (Rep)_Advanced Voting Votes,Janie Jones (Rep)_Absentee by Mail Votes,Janie Jones (Rep)_Provisional Votes,Janie Jones (Rep)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,554,1132,319,0,2005,2005,,
02 Bethlehem Church - 211,Barrow,6784,838,2749,837,0,4424,4424,
03 Hmong New Hope Alliance Church 6364,Barrow,999,1913,647,1,3560,3560,,
04 Covenant Life Sanctuary,Barrow,4012,519,1314,391,0,2224,2224,
05 Fire Station 1 (Statham),Barrow,8336,1099,3092,894,0,5085,5085,
08 First Baptist Church Winder7009,Barrow,829,2793,733,0,4355,4355,,
13 Winder Community Center,Barrow,9393,920,2958,904,0,4782,4782,
16 The Church at Winder,Barrow,10348,1221,3445,1010,2,5678,5678,
