Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,492,996,241,0,1729,106,256,169,0,531,2260,,
02 Bethlehem Church - 211,Barrow,6784,753,2560,722,0,4035,128,400,351,1,880,4915,
03 Hmong New Hope Alliance Church 6364,Barrow,894,1702,497,1,3094,178,402,335,0,915,4009,,
04 Covenant Life Sanctuary,Barrow,4012,439,1173,288,0,1900,113,280,202,0,595,2495,
05 Fire Station 1 (Statham),Barrow,8336,945,2668,643,0,4256,248,783,599,0,1630,5886,
08 First Baptist Church Winder7009,Barrow,716,2515,576,0,3807,165,524,344,0,1033,4840,,
13 Winder Community Center,Barrow,9393,692,2394,609,0,3695,333,1033,586,0,1952,5647,
16 The Church at Winder,Barrow,10348,986,2793,669,1,4449,383,1230,784,3,2400,6849,
