Precinct,County,Registered Voters,Staci Jo Waters_Election Day Votes,Staci Jo Waters_Advanced Voting Votes,Staci Jo Waters_Absentee by Mail Votes,Staci Jo Waters_Provisional Votes,Staci Jo Waters_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,537,1089,332,0,1958,1958,,
02 Bethlehem Church - 211,Barrow,6784,789,2569,820,0,4178,4178,
03 Hmong New Hope Alliance Church 6364,Barrow,953,1820,652,1,3426,3426,,
04 Covenant Life Sanctuary,Barrow,4012,477,1234,394,0,2105,2105,
05 Fire Station 1 (Statham),Barrow,8336,1049,2991,915,0,4955,4955,
08 First Baptist Church Winder7009,Barrow,799,2664,724,0,4187,4187,,
13 Winder Community Center,Barrow,9393,883,2902,914,0,4699,4699,
16 The Church at Winder,Barrow,10348,1176,3383,1055,2,5616,5616,
