Precinct,County,Registered Voters,Terry England (I) (Rep)_Election Day Votes,Terry England (I) (Rep)_Advanced Voting Votes,Terry England (I) (Rep)_Absentee by Mail Votes,Terry England (I) (Rep)_Provisional Votes,Terry England (I) (Rep)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,461,945,256,0,1662,1662,,
02 Bethlehem Church - 211,Barrow,6784,836,2749,853,0,4438,4438,
03 Hmong New Hope Alliance Church 6364,Barrow,999,1913,663,1,3576,3576,,
04 Covenant Life Sanctuary,Barrow,4012,518,1306,385,0,2209,2209,
05 Fire Station 1 (Statham),Barrow,8336,654,1983,609,0,3246,3246,
08 First Baptist Church Winder7009,Barrow,654,2296,594,0,3544,3544,,
13 Winder Community Center,Barrow,9393,904,2954,878,0,4736,4736,
16 The Church at Winder,Barrow,10348,186,598,181,0,965,965,
