Precinct,County,Registered Voters,Joe Goodman (I) (Rep)_Election Day Votes,Joe Goodman (I) (Rep)_Advanced Voting Votes,Joe Goodman (I) (Rep)_Absentee by Mail Votes,Joe Goodman (I) (Rep)_Provisional Votes,Joe Goodman (I) (Rep)_Choice Total,Total,
01 Bethlehem Community Center 3359,Barrow,45,118,40,0,203,203,,
05 Fire Station 1 (Statham),Barrow,8336,1086,3061,886,0,5033,5033,
08 First Baptist Church Winder7009,Barrow,141,366,115,0,622,622,,
