,Precinct,County,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,calc_participation
15,North Milledgeville,Baldwin,2211.0,218.0,767.0,234.0,1.0,1220.0,1220.0,55.2
23,Coopers,Baldwin,1574.0,305.0,489.0,109.0,0.0,903.0,903.0,57.4
22,West Hardwick,Baldwin,2903.0,221.0,541.0,221.0,0.0,983.0,983.0,33.9
21,East Hardwick,Baldwin,1313.0,112.0,157.0,91.0,0.0,360.0,360.0,27.4
20,West Baldwin,Baldwin,1862.0,233.0,595.0,172.0,0.0,1000.0,1000.0,53.7
19,North Baldwin,Baldwin,3515.0,362.0,1572.0,366.0,0.0,2300.0,2300.0,65.4
18,Scottsboro,Baldwin,1101.0,164.0,297.0,85.0,1.0,547.0,547.0,49.7
17,East Baldwin,Baldwin,3826.0,387.0,1416.0,374.0,0.0,2177.0,2177.0,56.9
16,Meriweather,Baldwin,2832.0,330.0,1160.0,309.0,0.0,1799.0,1799.0,63.5
13,Courthouse,Baldwin,506.0,42.0,111.0,36.0,0.0,189.0,189.0,37.4
12,Boddie,Baldwin,1381.0,121.0,213.0,74.0,0.0,408.0,408.0,29.5
14,Fire Dept,Baldwin,1481.0,102.0,338.0,117.0,0.0,557.0,557.0,37.6
10,South Milledgeville,Baldwin,1259.0,90.0,260.0,107.0,0.0,457.0,457.0,36.3
11,City Hall Annex,Baldwin,957.0,77.0,161.0,76.0,0.0,314.0,314.0,32.8
42,Old Salem,Greene,6961.0,524.0,3714.0,1200.0,3.0,5441.0,5441.0,78.2
39,Union Point,Greene,1873.0,225.0,514.0,205.0,0.0,944.0,944.0,50.4
40,Siloam,Greene,991.0,123.0,289.0,98.0,0.0,510.0,510.0,51.5
38,Greensboro,Greene,3999.0,273.0,1344.0,412.0,2.0,2031.0,2031.0,50.8
41,White Plains,Greene,347.0,46.0,119.0,34.0,0.0,199.0,199.0,57.3
47,Mayfield Community Center,Hancock,356.0,40.0,37.0,41.0,0.0,118.0,118.0,33.1
48,Power of God,Hancock,731.0,66.0,116.0,71.0,1.0,254.0,254.0,34.7
49,Warren Chapel,Hancock,268.0,29.0,80.0,49.0,0.0,158.0,158.0,59.0
51,Second Darrien,Hancock,364.0,62.0,50.0,54.0,0.0,166.0,166.0,45.6
52,Sparta 4C,Hancock,148.0,23.0,18.0,33.0,0.0,74.0,74.0,50.0
44,St Mark,Hancock,576.0,62.0,104.0,33.0,0.0,199.0,199.0,34.5
43,Devereux Fire Station,Hancock,1006.0,128.0,290.0,130.0,0.0,548.0,548.0,54.5
45,Courthouse,Hancock,931.0,73.0,186.0,79.0,1.0,339.0,339.0,36.4
