,Precinct,County,Registered Voters,Zulma Lopez (Dem)_Election Day Votes,Zulma Lopez (Dem)_Advanced Voting Votes,Zulma Lopez (Dem)_Absentee by Mail Votes,Zulma Lopez (Dem)_Provisional Votes,Zulma Lopez (Dem)_Choice Total,Total,calc_participation
0,Allgood Elem,DeKalb,2858.0,255.0,903.0,610.0,1.0,1769.0,1769.0,61.9
15,Rehoboth,DeKalb,1813.0,100.0,490.0,568.0,0.0,1158.0,1158.0,63.9
14,Peachcrest,DeKalb,2458.0,176.0,623.0,448.0,2.0,1249.0,1249.0,50.8
13,Northlake,DeKalb,1509.0,123.0,456.0,415.0,1.0,995.0,995.0,65.9
12,Memorial South,DeKalb,3138.0,252.0,728.0,391.0,14.0,1385.0,1385.0,44.1
11,Montreal,DeKalb,2586.0,174.0,732.0,468.0,2.0,1376.0,1376.0,53.2
10,Lakeside High,DeKalb,3216.0,122.0,695.0,541.0,1.0,1359.0,1359.0,42.3
9,Jolly Elem,DeKalb,3679.0,268.0,921.0,638.0,9.0,1836.0,1836.0,49.9
8,Glenwood Road,DeKalb,2293.0,202.0,546.0,401.0,3.0,1152.0,1152.0,50.2
7,Glenhaven,DeKalb,1880.0,225.0,488.0,323.0,0.0,1036.0,1036.0,55.1
6,Dunaire Elem,DeKalb,2268.0,190.0,634.0,432.0,3.0,1259.0,1259.0,55.5
5,Clarkston Community Center,DeKalb,2495.0,3.0,18.0,11.0,0.0,32.0,32.0,1.3
4,Coralwood,DeKalb,3153.0,150.0,1032.0,953.0,1.0,2136.0,2136.0,67.7
3,Clarkston,DeKalb,3878.0,220.0,595.0,217.0,2.0,1034.0,1034.0,26.7
2,Briarlake Elem,DeKalb,1752.0,128.0,526.0,473.0,1.0,1128.0,1128.0,64.4
1,Austin Drive,DeKalb,2536.0,204.0,641.0,452.0,10.0,1307.0,1307.0,51.5
16,Rowland Elem,DeKalb,3765.0,291.0,920.0,586.0,3.0,1800.0,1800.0,47.8
17,Rowland Road,DeKalb,2080.0,187.0,591.0,418.0,2.0,1198.0,1198.0,57.6
