,Precinct,County,Registered Voters,David Bishop_Election Day Votes,David Bishop_Advanced Voting Votes,David Bishop_Absentee by Mail Votes,David Bishop_Provisional Votes,David Bishop_Choice Total,Total,"William D. Martin, IV_Election Day Votes","William D. Martin, IV_Advanced Voting Votes","William D. Martin, IV_Absentee by Mail Votes","William D. Martin, IV_Provisional Votes","William D. Martin, IV_Choice Total",calc_participation
1,District 1A,Crawford,516.0,,,,,,253.0,83.0,121.0,49.0,0.0,253.0,49.0
2,District 1B,Crawford,1025.0,,,,,,493.0,80.0,323.0,90.0,0.0,493.0,48.1
3,District 2,Crawford,1659.0,,,,,,939.0,152.0,581.0,205.0,1.0,939.0,56.6
4,District 3,Crawford,1738.0,,,,,,989.0,197.0,678.0,114.0,0.0,989.0,56.9
5,District 4,Crawford,1805.0,,,,,,1051.0,321.0,559.0,171.0,0.0,1051.0,58.2
6,District 5,Crawford,1769.0,,,,,,1033.0,335.0,541.0,157.0,0.0,1033.0,58.4
0,Courthouse Annex,Pulaski,5687.0,408.0,2364.0,473.0,1.0,3246.0,3246.0,,,,,,57.1
