,Precinct,County,Registered Voters,Leisa Green Johnson_Election Day Votes,Leisa Green Johnson_Advanced Voting Votes,Leisa Green Johnson_Absentee by Mail Votes,Leisa Green Johnson_Provisional Votes,Leisa Green Johnson_Choice Total,Total,calc_participation
0,Palmyra Methodist,Dougherty,2761.0,419.0,466.0,325.0,9.0,1219.0,1219.0,44.2
25,Lamar Reese Elementary,Dougherty,1098.0,164.0,188.0,243.0,4.0,599.0,599.0,54.6
24,Christ Church,Dougherty,1879.0,428.0,473.0,311.0,1.0,1213.0,1213.0,64.6
23,Albany Middle School,Dougherty,1963.0,315.0,250.0,233.0,2.0,800.0,800.0,40.8
22,Pine Bluff Baptist Church,Dougherty,2221.0,384.0,358.0,358.0,0.0,1100.0,1100.0,49.5
21,Phoebe East,Dougherty,2965.0,493.0,386.0,386.0,4.0,1269.0,1269.0,42.8
20,International Studies,Dougherty,1042.0,151.0,206.0,193.0,0.0,550.0,550.0,52.8
19,Putney 1st Baptist Church,Dougherty,2819.0,558.0,441.0,366.0,1.0,1366.0,1366.0,48.5
18,Radium Middle School,Dougherty,693.0,131.0,122.0,91.0,0.0,344.0,344.0,49.6
17,Bill Miller Center,Dougherty,2404.0,332.0,361.0,268.0,5.0,966.0,966.0,40.2
16,Jackson Heights Elementary,Dougherty,2549.0,344.0,287.0,320.0,0.0,951.0,951.0,37.3
15,Turner Elementary,Dougherty,1205.0,109.0,67.0,66.0,6.0,248.0,248.0,20.6
14,Phoebe Healthworks,Dougherty,1574.0,191.0,152.0,179.0,1.0,523.0,523.0,33.2
13,Litman Cathedral,Dougherty,1486.0,218.0,167.0,188.0,21.0,594.0,594.0,40.0
12,Shiloh Baptist Church,Dougherty,1510.0,240.0,160.0,195.0,0.0,595.0,595.0,39.4
11,Carver Teen Center,Dougherty,1667.0,205.0,133.0,221.0,1.0,560.0,560.0,33.6
10,Alice Coachman Elementary,Dougherty,750.0,116.0,151.0,189.0,0.0,456.0,456.0,60.8
9,Mt Zion Center,Dougherty,3638.0,495.0,490.0,573.0,2.0,1560.0,1560.0,42.9
8,2nd Mt Zion Church,Dougherty,1465.0,286.0,249.0,215.0,2.0,752.0,752.0,51.3
7,Westtown Elementary,Dougherty,3265.0,490.0,582.0,630.0,1.0,1703.0,1703.0,52.2
6,Darton College,Dougherty,4289.0,547.0,1019.0,636.0,6.0,2208.0,2208.0,51.5
5,Merry Acres Middle,Dougherty,2432.0,422.0,511.0,336.0,9.0,1278.0,1278.0,52.5
4,Westover High School,Dougherty,3394.0,523.0,938.0,546.0,0.0,2007.0,2007.0,59.1
3,Greenbriar Church,Dougherty,3885.0,522.0,1093.0,729.0,7.0,2351.0,2351.0,60.5
2,Covenant Church,Dougherty,2334.0,450.0,418.0,278.0,2.0,1148.0,1148.0,49.2
1,Sherwood Elementary,Dougherty,3205.0,528.0,641.0,407.0,1.0,1577.0,1577.0,49.2
26,1st Christian Church,Dougherty,1505.0,291.0,319.0,218.0,1.0,829.0,829.0,55.1
27,Lovett Hall,Dougherty,1174.0,185.0,158.0,26.0,1.0,370.0,370.0,31.5
