,Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,calc_participation
1453,3A1,Appling,793.0,217.0,276.0,58.0,0.0,551.0,4.0,10.0,9.0,0.0,23.0,2.0,2.0,2.0,0.0,6.0,580.0,73.1
1450,1B,Appling,1309.0,225.0,449.0,118.0,1.0,793.0,26.0,48.0,41.0,0.0,115.0,6.0,14.0,1.0,0.0,21.0,929.0,71.0
1451,1C,Appling,848.0,162.0,332.0,64.0,2.0,560.0,16.0,14.0,5.0,0.0,35.0,4.0,2.0,1.0,0.0,7.0,602.0,71.0
1452,2,Appling,2251.0,127.0,289.0,71.0,0.0,487.0,147.0,407.0,263.0,1.0,818.0,11.0,21.0,3.0,0.0,35.0,1340.0,59.5
1458,5B,Appling,1126.0,187.0,379.0,92.0,3.0,661.0,33.0,52.0,35.0,0.0,120.0,5.0,8.0,1.0,0.0,14.0,795.0,70.6
1457,5A,Appling,1147.0,127.0,411.0,93.0,2.0,633.0,15.0,56.0,33.0,1.0,105.0,8.0,9.0,3.0,0.0,20.0,758.0,66.1
1456,4D,Appling,1493.0,227.0,605.0,151.0,1.0,984.0,15.0,53.0,32.0,0.0,100.0,2.0,14.0,3.0,0.0,19.0,1103.0,73.9
1455,4B,Appling,866.0,239.0,300.0,66.0,0.0,605.0,3.0,9.0,9.0,0.0,21.0,2.0,5.0,0.0,0.0,7.0,633.0,73.1
1454,3C,Appling,1566.0,95.0,569.0,115.0,0.0,779.0,48.0,118.0,99.0,0.0,265.0,7.0,13.0,12.0,0.0,32.0,1076.0,68.7
2230,Pearson County,Atkinson,1802.0,218.0,654.0,71.0,0.0,943.0,26.0,78.0,35.0,0.0,139.0,6.0,11.0,0.0,0.0,17.0,1099.0,61.0
2233,Pearson City,Atkinson,944.0,61.0,129.0,20.0,0.0,210.0,53.0,157.0,52.0,0.0,262.0,4.0,10.0,0.0,0.0,14.0,486.0,51.5
2232,Willacoochee,Atkinson,1311.0,200.0,271.0,41.0,0.0,512.0,98.0,124.0,36.0,0.0,258.0,12.0,12.0,1.0,0.0,25.0,795.0,60.6
2231,Axson,Atkinson,742.0,177.0,230.0,24.0,1.0,432.0,21.0,16.0,3.0,0.0,40.0,1.0,4.0,0.0,0.0,5.0,477.0,64.3
2123,Douglas,Bacon,6720.0,391.0,2886.0,458.0,1.0,3736.0,113.0,251.0,172.0,1.0,537.0,25.0,46.0,7.0,0.0,78.0,4351.0,64.7
1225,Newton,Baker,1070.0,61.0,257.0,64.0,0.0,382.0,46.0,130.0,103.0,0.0,279.0,4.0,7.0,1.0,0.0,12.0,673.0,62.9
1224,Milford,Baker,270.0,58.0,47.0,18.0,0.0,123.0,26.0,16.0,19.0,0.0,61.0,1.0,2.0,0.0,0.0,3.0,187.0,69.3
1223,Hoggards Mill,Baker,351.0,43.0,51.0,17.0,0.0,111.0,35.0,34.0,37.0,0.0,106.0,0.0,1.0,2.0,0.0,3.0,220.0,62.7
1222,Elmodel,Baker,401.0,50.0,55.0,22.0,0.0,127.0,21.0,65.0,57.0,0.0,143.0,2.0,1.0,1.0,0.0,4.0,274.0,68.3
1221,Anna,Baker,166.0,52.0,25.0,4.0,1.0,82.0,10.0,7.0,12.0,0.0,29.0,2.0,0.0,0.0,0.0,2.0,113.0,68.1
948,City Hall Annex,Baldwin,957.0,39.0,75.0,40.0,0.0,154.0,60.0,138.0,105.0,1.0,304.0,4.0,6.0,1.0,0.0,11.0,469.0,49.0
949,Boddie,Baldwin,1381.0,35.0,75.0,21.0,0.0,131.0,128.0,225.0,157.0,0.0,510.0,8.0,8.0,5.0,0.0,21.0,662.0,47.9
950,Courthouse,Baldwin,506.0,25.0,67.0,11.0,0.0,103.0,25.0,71.0,59.0,0.0,155.0,5.0,8.0,2.0,0.0,15.0,273.0,54.0
947,South Milledgeville,Baldwin,1259.0,35.0,107.0,31.0,0.0,173.0,92.0,280.0,185.0,0.0,557.0,7.0,10.0,2.0,0.0,19.0,749.0,59.5
959,West Hardwick,Baldwin,2903.0,63.0,251.0,71.0,0.0,385.0,245.0,606.0,475.0,0.0,1326.0,11.0,22.0,6.0,0.0,39.0,1750.0,60.3
951,Fire Dept,Baldwin,1481.0,35.0,135.0,31.0,0.0,201.0,87.0,335.0,245.0,0.0,667.0,11.0,14.0,7.0,0.0,32.0,900.0,60.8
952,North Milledgeville,Baldwin,2211.0,131.0,513.0,153.0,1.0,798.0,123.0,423.0,226.0,0.0,772.0,14.0,28.0,9.0,0.0,51.0,1621.0,73.3
953,Meriweather,Baldwin,2832.0,247.0,884.0,214.0,0.0,1345.0,109.0,430.0,215.0,0.0,754.0,17.0,32.0,7.0,0.0,56.0,2155.0,76.1
954,East Baldwin,Baldwin,3826.0,265.0,1037.0,230.0,0.0,1532.0,169.0,601.0,310.0,0.0,1080.0,14.0,33.0,10.0,0.0,57.0,2669.0,69.8
955,Scottsboro,Baldwin,1101.0,124.0,211.0,42.0,3.0,380.0,56.0,120.0,97.0,0.0,273.0,6.0,13.0,0.0,0.0,19.0,672.0,61.0
956,North Baldwin,Baldwin,3515.0,304.0,1309.0,255.0,0.0,1868.0,75.0,378.0,269.0,0.0,722.0,15.0,40.0,11.0,0.0,66.0,2656.0,75.6
957,West Baldwin,Baldwin,1862.0,175.0,448.0,96.0,0.0,719.0,94.0,281.0,186.0,0.0,561.0,5.0,15.0,8.0,0.0,28.0,1308.0,70.2
958,East Hardwick,Baldwin,1313.0,40.0,59.0,26.0,0.0,125.0,117.0,203.0,170.0,0.0,490.0,11.0,6.0,6.0,0.0,23.0,638.0,48.6
