,Precinct,County,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,calc_participation
11,Howell,Floyd,1492.0,422.0,404.0,122.0,1.0,949.0,29.0,63.0,22.0,0.0,114.0,1063.0,71.2
2,Barkers,Floyd,2355.0,387.0,918.0,187.0,6.0,1498.0,41.0,106.0,66.0,0.0,213.0,1711.0,72.7
13,Mt Alto North,Floyd,5096.0,229.0,1119.0,310.0,4.0,1662.0,261.0,733.0,390.0,11.0,1395.0,3057.0,60.0
17,East Rome,Floyd,4238.0,261.0,734.0,231.0,2.0,1228.0,179.0,658.0,333.0,2.0,1172.0,2400.0,56.6
12,East Lindale,Floyd,3398.0,431.0,1063.0,256.0,0.0,1750.0,94.0,281.0,156.0,0.0,531.0,2281.0,67.1
19,South Rome,Floyd,1600.0,46.0,112.0,48.0,1.0,207.0,135.0,249.0,184.0,2.0,570.0,777.0,48.6
20,Texas Valley,Floyd,762.0,250.0,212.0,59.0,7.0,528.0,23.0,34.0,31.0,0.0,88.0,616.0,80.8
18,North Rome,Floyd,3369.0,145.0,618.0,252.0,2.0,1017.0,153.0,427.0,368.0,5.0,953.0,1970.0,58.5
22,Watters,Floyd,3566.0,633.0,1163.0,273.0,6.0,2075.0,99.0,181.0,119.0,6.0,405.0,2480.0,69.5
16,Riverside,Floyd,826.0,145.0,197.0,42.0,4.0,388.0,45.0,73.0,25.0,0.0,143.0,531.0,64.3
15,North Carolina,Floyd,1865.0,269.0,539.0,123.0,1.0,932.0,39.0,110.0,63.0,3.0,215.0,1147.0,61.5
14,Mt Alto South,Floyd,3923.0,292.0,857.0,227.0,5.0,1381.0,240.0,526.0,271.0,2.0,1039.0,2420.0,61.7
21,Vanns Valley,Floyd,896.0,135.0,188.0,80.0,4.0,407.0,37.0,52.0,23.0,0.0,112.0,519.0,57.9
98,Sugar Valley,Gordon,1471.0,409.0,351.0,89.0,1.0,850.0,40.0,43.0,41.0,0.0,124.0,974.0,66.2
99,Plainville,Gordon,2044.0,515.0,446.0,125.0,3.0,1089.0,56.0,58.0,67.0,0.0,181.0,1270.0,62.1
100,Sonoraville,Gordon,5380.0,1107.0,1642.0,366.0,2.0,3117.0,138.0,221.0,153.0,0.0,512.0,3629.0,67.5
101,Pine Chapel,Gordon,1071.0,311.0,255.0,55.0,0.0,621.0,21.0,27.0,37.0,0.0,85.0,706.0,65.9
102,Oostanaula,Gordon,667.0,207.0,111.0,65.0,0.0,383.0,27.0,28.0,28.0,0.0,83.0,466.0,69.9
103,Oakman,Gordon,1439.0,423.0,242.0,86.0,0.0,751.0,35.0,42.0,46.0,0.0,123.0,874.0,60.7
104,Gordon County,Gordon,6423.0,804.0,1846.0,450.0,2.0,3102.0,172.0,374.0,225.0,0.0,771.0,3873.0,60.3
107,Fairmount,Gordon,1991.0,660.0,348.0,164.0,2.0,1174.0,64.0,43.0,53.0,0.0,160.0,1334.0,67.0
106,Lily Pond,Gordon,1914.0,351.0,565.0,141.0,0.0,1057.0,43.0,79.0,80.0,0.0,202.0,1259.0,65.8
108,Red Bud,Gordon,2965.0,616.0,857.0,144.0,1.0,1618.0,87.0,151.0,97.0,0.0,335.0,1953.0,65.9
109,Resaca,Gordon,1532.0,385.0,322.0,111.0,1.0,819.0,45.0,49.0,33.0,0.0,127.0,946.0,61.7
105,Calhoun City,Gordon,9532.0,903.0,2511.0,611.0,2.0,4027.0,353.0,801.0,505.0,0.0,1659.0,5686.0,59.7
142,Bremen,Haralson,6622.0,970.0,2222.0,562.0,0.0,3754.0,130.0,323.0,291.0,0.0,744.0,4498.0,67.9
143,Buchanan,Haralson,2365.0,393.0,815.0,208.0,1.0,1417.0,29.0,79.0,64.0,0.0,172.0,1589.0,67.2
144,Buncombe,Haralson,1075.0,287.0,248.0,90.0,0.0,625.0,23.0,22.0,19.0,0.0,64.0,689.0,64.1
145,Corinth,Haralson,1682.0,383.0,508.0,145.0,0.0,1036.0,24.0,43.0,23.0,0.0,90.0,1126.0,66.9
147,Felton,Haralson,304.0,104.0,76.0,19.0,0.0,199.0,4.0,1.0,7.0,0.0,12.0,211.0,69.4
148,Little Creek,Haralson,699.0,263.0,168.0,63.0,0.0,494.0,13.0,6.0,16.0,0.0,35.0,529.0,75.7
