,Precinct,County,Registered Voters,Tommy Benton (I) (Rep)_Election Day Votes,Tommy Benton (I) (Rep)_Advanced Voting Votes,Tommy Benton (I) (Rep)_Absentee by Mail Votes,Tommy Benton (I) (Rep)_Provisional Votes,Tommy Benton (I) (Rep)_Choice Total,Pete Fuller (Dem)_Election Day Votes,Pete Fuller (Dem)_Advanced Voting Votes,Pete Fuller (Dem)_Absentee by Mail Votes,Pete Fuller (Dem)_Provisional Votes,Pete Fuller (Dem)_Choice Total,Total,calc_participation
0,Central Jackson,Jackson,16263.0,1427.0,6441.0,1166.0,2.0,9036.0,289.0,1333.0,782.0,0.0,2404.0,11440.0,70.3
1,North Jackson,Jackson,12699.0,1252.0,4436.0,1152.0,1.0,6841.0,253.0,808.0,581.0,0.0,1642.0,8483.0,66.8
2,West Jackson,Jackson,14977.0,1422.0,6380.0,1385.0,2.0,9189.0,296.0,1108.0,801.0,1.0,2206.0,11395.0,76.1
3,South Jackson,Jackson,8012.0,268.0,1052.0,246.0,0.0,1566.0,34.0,135.0,103.0,0.0,272.0,1838.0,22.9
