,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
1453,3A1,Appling,793.0,132.0,176.0,44.0,0.0,352.0,80.0,95.0,22.0,0.0,197.0,549.0,69.2
1450,1B,Appling,1309.0,153.0,322.0,94.0,0.0,569.0,92.0,164.0,55.0,0.0,311.0,880.0,67.2
1451,1C,Appling,848.0,111.0,216.0,42.0,2.0,371.0,60.0,110.0,23.0,0.0,193.0,564.0,66.5
1452,2,Appling,2251.0,177.0,466.0,195.0,1.0,839.0,93.0,203.0,118.0,1.0,415.0,1254.0,55.7
1458,5B,Appling,1126.0,142.0,281.0,75.0,1.0,499.0,71.0,132.0,43.0,2.0,248.0,747.0,66.3
1457,5A,Appling,1147.0,94.0,286.0,69.0,1.0,450.0,47.0,165.0,47.0,2.0,261.0,711.0,62.0
1456,4D,Appling,1493.0,143.0,420.0,98.0,0.0,661.0,93.0,228.0,76.0,1.0,398.0,1059.0,70.9
1455,4B,Appling,866.0,140.0,173.0,35.0,0.0,348.0,86.0,136.0,27.0,0.0,249.0,597.0,68.9
1454,3C,Appling,1566.0,91.0,445.0,127.0,0.0,663.0,49.0,220.0,78.0,0.0,347.0,1010.0,64.5
2230,Pearson County,Atkinson,1802.0,170.0,415.0,65.0,0.0,650.0,75.0,298.0,31.0,0.0,404.0,1054.0,58.5
2233,Pearson City,Atkinson,944.0,87.0,197.0,35.0,0.0,319.0,28.0,101.0,25.0,0.0,154.0,473.0,50.1
2232,Willacoochee,Atkinson,1311.0,202.0,247.0,41.0,0.0,490.0,108.0,130.0,39.0,0.0,277.0,767.0,58.5
2231,Axson,Atkinson,742.0,127.0,142.0,15.0,1.0,285.0,72.0,96.0,9.0,0.0,177.0,462.0,62.3
2123,Douglas,Bacon,6720.0,368.0,2008.0,339.0,1.0,2716.0,137.0,932.0,244.0,1.0,1314.0,4030.0,60.0
1225,Newton,Baker,1070.0,71.0,228.0,98.0,0.0,397.0,36.0,136.0,62.0,0.0,234.0,631.0,59.0
1224,Milford,Baker,270.0,42.0,37.0,24.0,0.0,103.0,31.0,20.0,8.0,0.0,59.0,162.0,60.0
1223,Hoggards Mill,Baker,351.0,57.0,49.0,28.0,0.0,134.0,19.0,28.0,17.0,0.0,64.0,198.0,56.4
1222,Elmodel,Baker,401.0,51.0,68.0,37.0,0.0,156.0,18.0,49.0,37.0,1.0,105.0,261.0,65.1
1221,Anna,Baker,166.0,25.0,18.0,11.0,0.0,54.0,31.0,10.0,5.0,1.0,47.0,101.0,60.8
948,City Hall Annex,Baldwin,957.0,79.0,170.0,83.0,0.0,332.0,21.0,42.0,56.0,1.0,120.0,452.0,47.2
