,Precinct,County,Registered Voters,"Emory Dunahoo, Jr. (I) (Rep)_Election Day Votes","Emory Dunahoo, Jr. (I) (Rep)_Advanced Voting Votes","Emory Dunahoo, Jr. (I) (Rep)_Absentee by Mail Votes","Emory Dunahoo, Jr. (I) (Rep)_Provisional Votes","Emory Dunahoo, Jr. (I) (Rep)_Choice Total",Leigh Miller (Dem)_Election Day Votes,Leigh Miller (Dem)_Advanced Voting Votes,Leigh Miller (Dem)_Absentee by Mail Votes,Leigh Miller (Dem)_Provisional Votes,Leigh Miller (Dem)_Choice Total,Total
0,Wilson,Hall,0.0,70.0,229.0,69.0,0.0,368.0,29.0,66.0,45.0,0.0,140.0,508.0
1,Chicopee,Hall,0.0,54.0,83.0,31.0,0.0,168.0,46.0,74.0,36.0,2.0,158.0,326.0
2,Oakwood I,Hall,0.0,222.0,559.0,181.0,0.0,962.0,160.0,364.0,157.0,0.0,681.0,1643.0
3,Oakwood II,Hall,0.0,390.0,1416.0,457.0,2.0,2265.0,104.0,376.0,252.0,0.0,732.0,2997.0
4,Flowery Branch I,Hall,0.0,426.0,1494.0,473.0,0.0,2393.0,100.0,397.0,312.0,1.0,810.0,3203.0
5,Flowery Branch II,Hall,0.0,393.0,1062.0,253.0,5.0,1713.0,113.0,341.0,254.0,0.0,708.0,2421.0
6,Roberts,Hall,0.0,305.0,1376.0,544.0,0.0,2225.0,50.0,269.0,255.0,0.0,574.0,2799.0
7,Morgan I,Hall,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
8,Morgan II,Hall,0.0,345.0,1560.0,444.0,0.0,2349.0,165.0,537.0,319.0,3.0,1024.0,3373.0
9,Candler,Hall,0.0,486.0,1692.0,484.0,0.0,2662.0,237.0,581.0,346.0,0.0,1164.0,3826.0
10,Tadmore,Hall,0.0,225.0,503.0,156.0,4.0,888.0,218.0,359.0,181.0,1.0,759.0,1647.0
11,Gainesville II,Hall,0.0,1.0,7.0,1.0,0.0,9.0,17.0,32.0,19.0,1.0,69.0,78.0
12,Gainesville IV,Hall,0.0,18.0,37.0,16.0,0.0,71.0,31.0,45.0,17.0,0.0,93.0,164.0
13,Friendship III,Hall,0.0,287.0,1500.0,291.0,2.0,2080.0,112.0,458.0,260.0,0.0,830.0,2910.0
14,Friendship IV,Hall,0.0,45.0,421.0,94.0,3.0,563.0,9.0,156.0,94.0,1.0,260.0,823.0
