,Precinct,County,Registered Voters,Mary Kay Murphy (I) (Rep)_Election Day Votes,Mary Kay Murphy (I) (Rep)_Advanced Voting Votes,Mary Kay Murphy (I) (Rep)_Absentee by Mail Votes,Mary Kay Murphy (I) (Rep)_Provisional Votes,Mary Kay Murphy (I) (Rep)_Choice Total,Tanisha Banks (Dem)_Election Day Votes,Tanisha Banks (Dem)_Advanced Voting Votes,Tanisha Banks (Dem)_Absentee by Mail Votes,Tanisha Banks (Dem)_Provisional Votes,Tanisha Banks (Dem)_Choice Total,Total,calc_participation
0,SUWANEE A,Gwinnett,1737.0,116.0,312.0,152.0,0.0,580.0,97.0,355.0,183.0,1.0,636.0,1216.0,70.0
19,PINCKNEYVILLE T,Gwinnett,3201.0,208.0,335.0,283.0,1.0,827.0,219.0,570.0,393.0,1.0,1183.0,2010.0,62.8
20,SUWANEE C,Gwinnett,5675.0,350.0,1083.0,583.0,2.0,2018.0,209.0,961.0,770.0,2.0,1942.0,3960.0,69.8
21,DULUTH H,Gwinnett,2813.0,171.0,467.0,324.0,2.0,964.0,144.0,449.0,462.0,2.0,1057.0,2021.0,71.8
22,PINCKNEYVILLE W,Gwinnett,4253.0,139.0,321.0,244.0,0.0,704.0,81.0,342.0,285.0,0.0,708.0,1412.0,33.2
23,PINCKNEYVILLE X,Gwinnett,3412.0,226.0,595.0,423.0,6.0,1250.0,183.0,583.0,574.0,9.0,1349.0,2599.0,76.2
24,GOODWINS G,Gwinnett,2661.0,144.0,274.0,99.0,0.0,517.0,249.0,576.0,355.0,0.0,1180.0,1697.0,63.8
18,GOODWINS E,Gwinnett,5491.0,424.0,876.0,463.0,1.0,1764.0,322.0,1009.0,714.0,1.0,2046.0,3810.0,69.4
25,PINCKNEYVILLE Z,Gwinnett,1898.0,306.0,387.0,346.0,0.0,1039.0,86.0,185.0,286.0,0.0,557.0,1596.0,84.1
27,GOODWINS H,Gwinnett,2796.0,220.0,478.0,211.0,0.0,909.0,161.0,541.0,355.0,0.0,1057.0,1966.0,70.3
28,SUWANEE D,Gwinnett,4732.0,455.0,1345.0,584.0,1.0,2385.0,141.0,673.0,535.0,0.0,1349.0,3734.0,78.9
29,SUWANEE E,Gwinnett,4256.0,368.0,1159.0,533.0,2.0,2062.0,118.0,702.0,477.0,1.0,1298.0,3360.0,78.9
30,DULUTH I,Gwinnett,5105.0,303.0,967.0,705.0,0.0,1975.0,177.0,715.0,821.0,1.0,1714.0,3689.0,72.3
31,SUWANEE H,Gwinnett,3785.0,324.0,1233.0,539.0,0.0,2096.0,112.0,480.0,363.0,1.0,956.0,3052.0,80.6
32,SUGAR HILL G,Gwinnett,2814.0,298.0,799.0,284.0,0.0,1381.0,70.0,380.0,343.0,1.0,794.0,2175.0,77.3
26,PINCKNEYVILLE A1,Gwinnett,2694.0,323.0,596.0,527.0,0.0,1446.0,82.0,333.0,401.0,0.0,816.0,2262.0,84.0
33,GOODWINS I,Gwinnett,2501.0,235.0,402.0,309.0,0.0,946.0,161.0,453.0,324.0,0.0,938.0,1884.0,75.3
17,DULUTH G,Gwinnett,3067.0,293.0,553.0,369.0,0.0,1215.0,150.0,458.0,415.0,2.0,1025.0,2240.0,73.0
15,DULUTH E,Gwinnett,4814.0,222.0,534.0,275.0,0.0,1031.0,406.0,1147.0,707.0,4.0,2264.0,3295.0,68.4
1,GOODWINS A,Gwinnett,3921.0,296.0,567.0,258.0,0.0,1121.0,252.0,776.0,512.0,0.0,1540.0,2661.0,67.9
2,DULUTH A,Gwinnett,5042.0,235.0,890.0,490.0,2.0,1617.0,209.0,1021.0,879.0,0.0,2109.0,3726.0,73.9
3,PINCKNEYVILLE C,Gwinnett,2082.0,261.0,293.0,296.0,1.0,851.0,111.0,326.0,327.0,4.0,768.0,1619.0,77.8
4,SUGAR HILL B,Gwinnett,5596.0,487.0,1129.0,431.0,10.0,2057.0,276.0,886.0,530.0,3.0,1695.0,3752.0,67.0
5,PINCKNEYVILLE H,Gwinnett,4536.0,333.0,755.0,507.0,0.0,1595.0,233.0,852.0,731.0,2.0,1818.0,3413.0,75.2
6,DULUTH B,Gwinnett,3551.0,256.0,545.0,383.0,2.0,1186.0,191.0,515.0,516.0,1.0,1223.0,2409.0,67.8
16,DULUTH F,Gwinnett,6161.0,59.0,177.0,149.0,0.0,385.0,161.0,585.0,435.0,8.0,1189.0,1574.0,25.5
7,SUGAR HILL C,Gwinnett,5085.0,549.0,1172.0,451.0,1.0,2173.0,212.0,734.0,479.0,0.0,1425.0,3598.0,70.8
9,DULUTH C,Gwinnett,2229.0,196.0,312.0,234.0,1.0,743.0,141.0,380.0,296.0,2.0,819.0,1562.0,70.1
10,DULUTH D,Gwinnett,5077.0,231.0,661.0,339.0,4.0,1235.0,305.0,1033.0,623.0,8.0,1969.0,3204.0,63.1
11,PINCKNEYVILLE L,Gwinnett,2330.0,311.0,487.0,548.0,0.0,1346.0,91.0,219.0,335.0,0.0,645.0,1991.0,85.5
12,PINCKNEYVILLE M,Gwinnett,2673.0,349.0,684.0,506.0,0.0,1539.0,81.0,274.0,318.0,0.0,673.0,2212.0,82.8
13,PINCKNEYVILLE P,Gwinnett,2185.0,173.0,272.0,277.0,0.0,722.0,183.0,377.0,324.0,1.0,885.0,1607.0,73.5
14,GOODWINS C,Gwinnett,5804.0,307.0,617.0,370.0,0.0,1294.0,406.0,1222.0,862.0,0.0,2490.0,3784.0,65.2
8,SUGAR HILL D,Gwinnett,4624.0,127.0,456.0,111.0,1.0,695.0,59.0,216.0,140.0,0.0,415.0,1110.0,24.0
34,SUWANEE G,Gwinnett,3904.0,302.0,762.0,299.0,0.0,1363.0,210.0,785.0,533.0,0.0,1528.0,2891.0,74.1
