,Precinct,County,Registered Voters,Farran Fullilove_Election Day Votes,Farran Fullilove_Advanced Voting Votes,Farran Fullilove_Absentee by Mail Votes,Farran Fullilove_Provisional Votes,Farran Fullilove_Choice Total,Total,calc_participation
0,West Kingsland,Camden,2782.0,134.0,373.0,81.0,0.0,588.0,588.0,21.1
1,North Kingsland,Camden,2599.0,184.0,515.0,172.0,0.0,871.0,871.0,33.5
2,Kingsland,Camden,2274.0,194.0,551.0,167.0,0.0,912.0,912.0,40.1
3,East Kingsland,Camden,6866.0,533.0,2072.0,626.0,0.0,3231.0,3231.0,47.1
