,Precinct,County,Registered Voters,Viola Davis (I) (Dem)_Election Day Votes,Viola Davis (I) (Dem)_Advanced Voting Votes,Viola Davis (I) (Dem)_Absentee by Mail Votes,Viola Davis (I) (Dem)_Provisional Votes,Viola Davis (I) (Dem)_Choice Total,Total,calc_participation
0,Brockett Elem,DeKalb,2752.0,169.0,848.0,581.0,5.0,1603.0,1603.0,58.2
20,Woodridge Elem,DeKalb,3851.0,329.0,1040.0,753.0,9.0,2131.0,2131.0,55.3
19,Tucker,DeKalb,2932.0,61.0,611.0,463.0,2.0,1137.0,1137.0,38.8
18,South Hairston,DeKalb,3814.0,359.0,1100.0,647.0,9.0,2115.0,2115.0,55.5
17,Stone Mtn Middle,DeKalb,3247.0,31.0,122.0,76.0,2.0,231.0,231.0,7.1
16,Redan Middle,DeKalb,2496.0,65.0,413.0,240.0,2.0,720.0,720.0,28.8
15,Rockbridge Elem,DeKalb,3595.0,318.0,950.0,511.0,9.0,1788.0,1788.0,49.7
14,Panola Way Elem,DeKalb,2252.0,205.0,592.0,321.0,17.0,1135.0,1135.0,50.4
13,Pine Lake,DeKalb,632.0,244.0,135.0,73.0,0.0,452.0,452.0,71.5
12,North Hairston,DeKalb,2329.0,232.0,646.0,416.0,5.0,1299.0,1299.0,55.8
21,White Oak,DeKalb,2951.0,314.0,729.0,429.0,3.0,1475.0,1475.0,50.0
11,Midvale Road,DeKalb,1832.0,150.0,643.0,330.0,0.0,1123.0,1123.0,61.3
9,Miller Grove,DeKalb,4747.0,1.0,7.0,2.0,2.0,12.0,12.0,0.3
8,Midvale Elem,DeKalb,2747.0,36.0,182.0,155.0,0.0,373.0,373.0,13.6
7,Idlewood Elem,DeKalb,2472.0,226.0,758.0,428.0,7.0,1419.0,1419.0,57.4
6,Hambrick Elem,DeKalb,3776.0,307.0,1113.0,645.0,8.0,2073.0,2073.0,54.9
5,Freedom Middle,DeKalb,3227.0,298.0,876.0,561.0,9.0,1744.0,1744.0,54.0
4,Evansdale Elem,DeKalb,3441.0,29.0,177.0,144.0,0.0,350.0,350.0,10.2
3,Crossroads,DeKalb,2898.0,201.0,774.0,581.0,2.0,1558.0,1558.0,53.8
2,Clarkston,DeKalb,3878.0,23.0,61.0,12.0,1.0,97.0,97.0,2.5
1,Brockett,DeKalb,2681.0,229.0,773.0,535.0,4.0,1541.0,1541.0,57.5
10,Montreal,DeKalb,2586.0,30.0,88.0,62.0,1.0,181.0,181.0,7.0
22,Young Road,DeKalb,1951.0,107.0,770.0,432.0,4.0,1313.0,1313.0,67.3
