,Precinct,County,Registered Voters,Russell E. Barnes_Election Day Votes,Russell E. Barnes_Advanced Voting Votes,Russell E. Barnes_Absentee by Mail Votes,Russell E. Barnes_Provisional Votes,Russell E. Barnes_Choice Total,Patrick A. Lunceford_Election Day Votes,Patrick A. Lunceford_Advanced Voting Votes,Patrick A. Lunceford_Absentee by Mail Votes,Patrick A. Lunceford_Provisional Votes,Patrick A. Lunceford_Choice Total,George Reeves (I)_Election Day Votes,George Reeves (I)_Advanced Voting Votes,George Reeves (I)_Absentee by Mail Votes,George Reeves (I)_Provisional Votes,George Reeves (I)_Choice Total,Total,calc_participation
0,131,McDuffie,1172.0,53.0,181.0,95.0,0.0,329.0,59.0,197.0,115.0,0.0,371.0,61.0,222.0,181.0,0.0,464.0,1164.0,99.3
1,132,McDuffie,1507.0,73.0,514.0,105.0,0.0,692.0,70.0,521.0,109.0,0.0,700.0,82.0,653.0,150.0,0.0,885.0,2277.0,151.1
2,133A,McDuffie,1278.0,90.0,304.0,76.0,0.0,470.0,84.0,286.0,73.0,0.0,443.0,110.0,393.0,118.0,0.0,621.0,1534.0,120.0
3,133B,McDuffie,1959.0,153.0,581.0,121.0,0.0,855.0,146.0,526.0,116.0,0.0,788.0,187.0,708.0,172.0,0.0,1067.0,2710.0,138.3
4,134,McDuffie,1908.0,82.0,400.0,150.0,0.0,632.0,86.0,411.0,177.0,0.0,674.0,98.0,491.0,287.0,0.0,876.0,2182.0,114.4
5,135,McDuffie,3089.0,150.0,840.0,217.0,0.0,1207.0,144.0,900.0,245.0,0.0,1289.0,170.0,1047.0,320.0,0.0,1537.0,4033.0,130.6
6,136,McDuffie,1940.0,104.0,245.0,113.0,0.0,462.0,96.0,256.0,132.0,0.0,484.0,101.0,305.0,229.0,0.0,635.0,1581.0,81.5
7,137,McDuffie,1202.0,66.0,387.0,83.0,0.0,536.0,61.0,407.0,85.0,0.0,553.0,70.0,508.0,133.0,0.0,711.0,1800.0,149.8
8,139,McDuffie,978.0,66.0,258.0,63.0,0.0,387.0,59.0,253.0,71.0,0.0,383.0,72.0,320.0,114.0,0.0,506.0,1276.0,130.5
