,Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,calc_participation
95,Anna,Baker,166.0,54.0,24.0,2.0,1.0,81.0,16.0,7.0,14.0,0.0,37.0,118.0,71.1
97,Hoggards Mill,Baker,351.0,37.0,52.0,12.0,0.0,101.0,42.0,38.0,47.0,0.0,127.0,228.0,65.0
98,Milford,Baker,270.0,55.0,44.0,16.0,0.0,115.0,36.0,22.0,27.0,0.0,85.0,200.0,74.1
99,Newton,Baker,1070.0,53.0,232.0,44.0,0.0,329.0,63.0,171.0,124.0,0.0,358.0,687.0,64.2
96,Elmodel,Baker,401.0,42.0,55.0,13.0,0.0,110.0,33.0,72.0,67.0,1.0,173.0,283.0,70.6
60,Godfrey 2,Bibb,2158.0,30.0,41.0,12.0,0.0,83.0,206.0,330.0,262.0,1.0,799.0,882.0,40.9
59,Godfrey 1,Bibb,6283.0,96.0,151.0,55.0,0.0,302.0,541.0,1416.0,982.0,7.0,2946.0,3248.0,51.7
62,Godfrey 4,Bibb,2231.0,42.0,59.0,21.0,0.0,122.0,235.0,320.0,264.0,2.0,821.0,943.0,42.3
63,Godfrey 5,Bibb,4761.0,80.0,102.0,77.0,0.0,259.0,614.0,1092.0,650.0,4.0,2360.0,2619.0,55.0
64,Hazzard 1,Bibb,3377.0,46.0,92.0,58.0,1.0,197.0,444.0,726.0,503.0,4.0,1677.0,1874.0,55.5
65,Hazzard 3,Bibb,7068.0,277.0,631.0,211.0,6.0,1125.0,539.0,1703.0,1057.0,11.0,3310.0,4435.0,62.7
66,Hazzard 4,Bibb,4745.0,334.0,536.0,169.0,0.0,1039.0,127.0,320.0,223.0,0.0,670.0,1709.0,36.0
67,Howard 1,Bibb,3436.0,72.0,215.0,90.0,1.0,378.0,9.0,52.0,58.0,0.0,119.0,497.0,14.5
68,Rutland 1,Bibb,5704.0,871.0,1079.0,459.0,0.0,2409.0,299.0,995.0,562.0,3.0,1859.0,4268.0,74.8
69,Rutland 2,Bibb,3409.0,651.0,609.0,240.0,0.0,1500.0,210.0,462.0,248.0,6.0,926.0,2426.0,71.2
72,Vineville 3,Bibb,3127.0,27.0,69.0,41.0,0.0,137.0,315.0,747.0,522.0,5.0,1589.0,1726.0,55.2
71,Vineville 2,Bibb,2067.0,99.0,136.0,48.0,1.0,284.0,204.0,375.0,368.0,0.0,947.0,1231.0,59.6
61,Godfrey 3,Bibb,3292.0,36.0,79.0,30.0,0.0,145.0,376.0,707.0,449.0,4.0,1536.0,1681.0,51.1
73,Vineville 4,Bibb,4097.0,71.0,144.0,40.0,0.0,255.0,512.0,888.0,621.0,6.0,2027.0,2282.0,55.7
74,Warrior 1,Bibb,2617.0,588.0,467.0,156.0,2.0,1213.0,152.0,316.0,261.0,2.0,731.0,1944.0,74.3
75,Warrior 2,Bibb,3232.0,561.0,749.0,168.0,4.0,1482.0,119.0,493.0,333.0,2.0,947.0,2429.0,75.2
58,East Macon 5,Bibb,2552.0,110.0,159.0,85.0,0.0,354.0,254.0,571.0,450.0,2.0,1277.0,1631.0,63.9
57,East Macon 4,Bibb,2280.0,32.0,33.0,20.0,2.0,87.0,340.0,489.0,464.0,4.0,1297.0,1384.0,60.7
56,East Macon 3,Bibb,3494.0,118.0,304.0,120.0,0.0,542.0,303.0,710.0,539.0,6.0,1558.0,2100.0,60.1
55,East Macon 2,Bibb,3932.0,44.0,57.0,40.0,0.0,141.0,433.0,987.0,750.0,8.0,2178.0,2319.0,59.0
54,East Macon 1,Bibb,2108.0,13.0,16.0,7.0,1.0,37.0,226.0,362.0,333.0,5.0,926.0,963.0,45.7
70,Vineville 1,Bibb,3572.0,181.0,344.0,126.0,2.0,653.0,273.0,688.0,538.0,2.0,1501.0,2154.0,60.3
135,Leary,Calhoun,721.0,60.0,93.0,23.0,0.0,176.0,110.0,111.0,119.0,0.0,340.0,516.0,71.6
138,Edison-Arlington,Calhoun,594.0,33.0,63.0,19.0,0.0,115.0,89.0,114.0,74.0,0.0,277.0,392.0,66.0
139,Arlington,Calhoun,684.0,28.0,61.0,8.0,0.0,97.0,112.0,112.0,142.0,0.0,366.0,463.0,67.7
137,Edison,Calhoun,523.0,15.0,27.0,5.0,0.0,47.0,81.0,103.0,70.0,0.0,254.0,301.0,57.6
136,Morgan,Calhoun,662.0,67.0,150.0,42.0,0.0,259.0,41.0,105.0,82.0,0.0,228.0,487.0,73.6
191,Activity Center,Chattahoochee,0.0,279.0,420.0,112.0,2.0,813.0,164.0,366.0,184.0,1.0,715.0,1528.0,
183,Days Cross Road,Clay,461.0,31.0,117.0,34.0,0.0,182.0,30.0,64.0,68.0,0.0,162.0,344.0,74.6
182,Old Head Start,Clay,453.0,22.0,86.0,19.0,0.0,127.0,37.0,62.0,82.0,0.0,181.0,308.0,68.0
181,Court House,Clay,390.0,9.0,32.0,12.0,0.0,53.0,54.0,88.0,53.0,0.0,195.0,248.0,63.6
180,Zetto,Clay,366.0,14.0,52.0,9.0,0.0,75.0,41.0,78.0,59.0,0.0,178.0,253.0,69.1
179,Bluffton,Clay,383.0,32.0,84.0,28.0,0.0,144.0,24.0,58.0,41.0,0.0,123.0,267.0,69.7
205,District 5,Crawford,1769.0,341.0,566.0,118.0,0.0,1025.0,53.0,89.0,70.0,0.0,212.0,1237.0,69.9
