,Precinct,County,Registered Voters,Gary Minyard (Rep)_Election Day Votes,Gary Minyard (Rep)_Advanced Voting Votes,Gary Minyard (Rep)_Absentee by Mail Votes,Gary Minyard (Rep)_Provisional Votes,Gary Minyard (Rep)_Choice Total,Total,Ben McDaniel (I) (Rep)_Election Day Votes,Ben McDaniel (I) (Rep)_Advanced Voting Votes,Ben McDaniel (I) (Rep)_Absentee by Mail Votes,Ben McDaniel (I) (Rep)_Provisional Votes,Ben McDaniel (I) (Rep)_Choice Total,Santae' L._Election Day Votes,Santae' L._Advanced Voting Votes,Santae' L._Absentee by Mail Votes,Santae' L._Provisional Votes,Santae' L._Choice Total,Thomas H. Gartrell (Rep)_Election Day Votes,Thomas H. Gartrell (Rep)_Advanced Voting Votes,Thomas H. Gartrell (Rep)_Absentee by Mail Votes,Thomas H. Gartrell (Rep)_Provisional Votes,Thomas H. Gartrell (Rep)_Choice Total,Rob Johnson (Rep)_Election Day Votes,Rob Johnson (Rep)_Advanced Voting Votes,Rob Johnson (Rep)_Absentee by Mail Votes,Rob Johnson (Rep)_Provisional Votes,Rob Johnson (Rep)_Choice Total,calc_participation
0,Carnesville,Franklin,2382.0,267.0,1114.0,252.0,0.0,1633.0,1633.0,,,,,,,,,,,,,,,,,,,,,68.6
1,West Franklin,Franklin,1764.0,337.0,598.0,185.0,0.0,1120.0,1120.0,,,,,,,,,,,,,,,,,,,,,63.5
2,Northeast Franklin,Franklin,2935.0,474.0,1057.0,353.0,2.0,1886.0,1886.0,,,,,,,,,,,,,,,,,,,,,64.3
3,Lavonia,Franklin,2355.0,360.0,802.0,254.0,0.0,1416.0,1416.0,,,,,,,,,,,,,,,,,,,,,60.1
4,Canon,Franklin,1244.0,306.0,414.0,124.0,0.0,844.0,844.0,,,,,,,,,,,,,,,,,,,,,67.8
5,Royston,Franklin,2034.0,325.0,675.0,259.0,0.0,1259.0,1259.0,,,,,,,,,,,,,,,,,,,,,61.9
6,Southwest Franklin,Franklin,2432.0,413.0,969.0,237.0,0.0,1619.0,1619.0,,,,,,,,,,,,,,,,,,,,,66.6
22,West Jackson,Jackson,14977.0,,,,,,6232.0,,,,,,,,,,,,,,,,1013.0,4190.0,1028.0,1.0,6232.0,41.6
8,Claude,Peach,908.0,,,,,,173.0,35.0,84.0,12.0,1.0,132.0,7.0,19.0,15.0,0.0,41.0,,,,,,,,,,,19.1
9,Powersville,Peach,1365.0,,,,,,330.0,50.0,177.0,35.0,2.0,264.0,7.0,38.0,20.0,1.0,66.0,,,,,,,,,,,24.2
7,Byron 2,Peach,5028.0,,,,,,3607.0,245.0,1757.0,347.0,4.0,2353.0,124.0,777.0,352.0,1.0,1254.0,,,,,,,,,,,71.7
10,Yellow Creek,Pickens,3571.0,,,,,,2244.0,,,,,,,,,,,834.0,1032.0,378.0,0.0,2244.0,,,,,,62.8
21,Tate,Pickens,2651.0,,,,,,1721.0,,,,,,,,,,,679.0,821.0,220.0,1.0,1721.0,,,,,,64.9
12,Appalachian,Pickens,1933.0,,,,,,1240.0,,,,,,,,,,,427.0,639.0,174.0,0.0,1240.0,,,,,,64.1
13,Refuge,Pickens,2490.0,,,,,,1574.0,,,,,,,,,,,575.0,792.0,207.0,0.0,1574.0,,,,,,63.2
14,Hill,Pickens,2042.0,,,,,,1352.0,,,,,,,,,,,559.0,609.0,182.0,2.0,1352.0,,,,,,66.2
15,Hinton,Pickens,825.0,,,,,,497.0,,,,,,,,,,,314.0,148.0,35.0,0.0,497.0,,,,,,60.2
16,Jerusalem,Pickens,1145.0,,,,,,779.0,,,,,,,,,,,500.0,204.0,75.0,0.0,779.0,,,,,,68.0
17,Ludville,Pickens,721.0,,,,,,442.0,,,,,,,,,,,309.0,99.0,34.0,0.0,442.0,,,,,,61.3
18,Nelson,Pickens,1474.0,,,,,,914.0,,,,,,,,,,,433.0,380.0,101.0,0.0,914.0,,,,,,62.0
19,Talking Rock,Pickens,1781.0,,,,,,1100.0,,,,,,,,,,,462.0,482.0,153.0,3.0,1100.0,,,,,,61.8
20,Jasper,Pickens,2517.0,,,,,,1390.0,,,,,,,,,,,492.0,701.0,196.0,1.0,1390.0,,,,,,55.2
11,Sharptop,Pickens,2616.0,,,,,,1727.0,,,,,,,,,,,606.0,746.0,375.0,0.0,1727.0,,,,,,66.0
