,Precinct,County,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total,calc_participation
0,East Macon 1,Bibb,2108.0,242.0,373.0,333.0,6.0,954.0,954.0,45.3
30,Warrior 2,Bibb,3232.0,380.0,843.0,384.0,4.0,1611.0,1611.0,49.8
29,Warrior 1,Bibb,2617.0,458.0,543.0,313.0,2.0,1316.0,1316.0,50.3
28,Vineville 6,Bibb,3021.0,369.0,735.0,485.0,5.0,1594.0,1594.0,52.8
27,Vineville 5,Bibb,2359.0,264.0,642.0,339.0,2.0,1247.0,1247.0,52.9
26,Vineville 4,Bibb,4097.0,550.0,962.0,638.0,9.0,2159.0,2159.0,52.7
25,Vineville 3,Bibb,3127.0,328.0,781.0,537.0,5.0,1651.0,1651.0,52.8
24,Vineville 2,Bibb,2067.0,256.0,416.0,361.0,0.0,1033.0,1033.0,50.0
23,Vineville 1,Bibb,3572.0,363.0,844.0,552.0,4.0,1763.0,1763.0,49.4
22,Rutland 2,Bibb,3409.0,529.0,731.0,358.0,4.0,1622.0,1622.0,47.6
20,Howard 7,Bibb,2897.0,361.0,777.0,453.0,3.0,1594.0,1594.0,55.0
19,Howard 6,Bibb,2213.0,250.0,635.0,299.0,8.0,1192.0,1192.0,53.9
18,Howard 5,Bibb,2272.0,350.0,596.0,241.0,4.0,1191.0,1191.0,52.4
17,Howard 4,Bibb,1711.0,197.0,481.0,243.0,1.0,922.0,922.0,53.9
16,Howard 3,Bibb,6397.0,711.0,1811.0,950.0,4.0,3476.0,3476.0,54.3
21,Rutland 1,Bibb,5704.0,762.0,1491.0,725.0,3.0,2981.0,2981.0,52.3
14,Howard 1,Bibb,3436.0,348.0,911.0,548.0,3.0,1810.0,1810.0,52.7
1,East Macon 2,Bibb,3932.0,465.0,1013.0,759.0,7.0,2244.0,2244.0,57.1
15,Howard 2,Bibb,3394.0,368.0,919.0,525.0,4.0,1816.0,1816.0,53.5
3,East Macon 4,Bibb,2280.0,361.0,514.0,455.0,5.0,1335.0,1335.0,58.6
4,East Macon 5,Bibb,2552.0,311.0,641.0,490.0,2.0,1444.0,1444.0,56.6
5,Godfrey 1,Bibb,6283.0,605.0,1482.0,998.0,6.0,3091.0,3091.0,49.2
6,Godfrey 2,Bibb,2158.0,222.0,360.0,261.0,1.0,844.0,844.0,39.1
7,Godfrey 3,Bibb,3292.0,400.0,738.0,456.0,6.0,1600.0,1600.0,48.6
2,East Macon 3,Bibb,3494.0,361.0,821.0,565.0,7.0,1754.0,1754.0,50.2
9,Godfrey 5,Bibb,4761.0,662.0,1144.0,645.0,4.0,2455.0,2455.0,51.6
10,Hazzard 1,Bibb,3377.0,470.0,774.0,518.0,3.0,1765.0,1765.0,52.3
11,Hazzard 2,Bibb,4173.0,665.0,1060.0,484.0,5.0,2214.0,2214.0,53.1
12,Hazzard 3,Bibb,7068.0,690.0,1993.0,1115.0,14.0,3812.0,3812.0,53.9
13,Hazzard 4,Bibb,4745.0,576.0,1379.0,730.0,3.0,2688.0,2688.0,56.6
8,Godfrey 4,Bibb,2231.0,256.0,350.0,273.0,2.0,881.0,881.0,39.5
36,District 5,Crawford,1769.0,242.0,400.0,134.0,0.0,776.0,776.0,43.9
35,District 4,Crawford,1805.0,232.0,407.0,139.0,0.0,778.0,778.0,43.1
34,District 3,Crawford,1738.0,150.0,509.0,103.0,0.0,762.0,762.0,43.8
32,District 1B,Crawford,1025.0,80.0,370.0,121.0,1.0,572.0,572.0,55.8
31,District 1A,Crawford,516.0,89.0,118.0,53.0,0.0,260.0,260.0,50.4
33,District 2,Crawford,1659.0,143.0,557.0,230.0,1.0,931.0,931.0,56.1
42,Fort Valley 3,Peach,2720.0,223.0,796.0,473.0,2.0,1494.0,1494.0,54.9
37,Byron 1,Peach,2636.0,166.0,1016.0,207.0,1.0,1390.0,1390.0,52.7
38,Byron 2,Peach,5028.0,290.0,1777.0,533.0,3.0,2603.0,2603.0,51.8
39,Claude,Peach,908.0,122.0,227.0,54.0,0.0,403.0,403.0,44.4
40,Fort Valley 1,Peach,2669.0,228.0,863.0,339.0,0.0,1430.0,1430.0,53.6
41,Fort Valley 2,Peach,2670.0,213.0,757.0,316.0,1.0,1287.0,1287.0,48.2
43,Powersville,Peach,1365.0,120.0,416.0,135.0,1.0,672.0,672.0,49.2
