,Precinct,County,Registered Voters,Connie Collins Hobbs (I) (Dem)_Election Day Votes,Connie Collins Hobbs (I) (Dem)_Advanced Voting Votes,Connie Collins Hobbs (I) (Dem)_Absentee by Mail Votes,Connie Collins Hobbs (I) (Dem)_Provisional Votes,Connie Collins Hobbs (I) (Dem)_Choice Total,Total,calc_participation
0,Anna,Baker,166.0,49.0,20.0,15.0,1.0,85.0,85.0,51.2
1,Elmodel,Baker,401.0,62.0,107.0,69.0,1.0,239.0,239.0,59.6
2,Hoggards Mill,Baker,351.0,63.0,71.0,49.0,0.0,183.0,183.0,52.1
3,Milford,Baker,270.0,66.0,56.0,33.0,0.0,155.0,155.0,57.4
4,Newton,Baker,1070.0,93.0,313.0,143.0,0.0,549.0,549.0,51.3
