,Precinct,County,Registered Voters,"Leonard Burse, Jr. (Dem)_Election Day Votes","Leonard Burse, Jr. (Dem)_Advanced Voting Votes","Leonard Burse, Jr. (Dem)_Absentee by Mail Votes","Leonard Burse, Jr. (Dem)_Provisional Votes","Leonard Burse, Jr. (Dem)_Choice Total",Total,Omar Dewayne Dickey (Dem)_Election Day Votes,Omar Dewayne Dickey (Dem)_Advanced Voting Votes,Omar Dewayne Dickey (Dem)_Absentee by Mail Votes,Omar Dewayne Dickey (Dem)_Provisional Votes,Omar Dewayne Dickey (Dem)_Choice Total,Kerry M. Dunaway (Rep)_Election Day Votes,Kerry M. Dunaway (Rep)_Advanced Voting Votes,Kerry M. Dunaway (Rep)_Absentee by Mail Votes,Kerry M. Dunaway (Rep)_Provisional Votes,Kerry M. Dunaway (Rep)_Choice Total,calc_participation
1,District 1A,Crawford,516.0,,,,,,322.0,46.0,57.0,37.0,0.0,140.0,60.0,94.0,28.0,0.0,182.0,62.4
2,District 1B,Crawford,1025.0,,,,,,711.0,56.0,264.0,106.0,0.0,426.0,43.0,198.0,42.0,2.0,285.0,69.4
0,100,Ware,4740.0,276.0,1042.0,883.0,6.0,2207.0,2207.0,,,,,,,,,,,46.6
