,Precinct,County,Registered Voters,Barry Fleming (I) (Rep)_Election Day Votes,Barry Fleming (I) (Rep)_Advanced Voting Votes,Barry Fleming (I) (Rep)_Absentee by Mail Votes,Barry Fleming (I) (Rep)_Provisional Votes,Barry Fleming (I) (Rep)_Choice Total,Total,calc_participation
0,Kiokee Baptist Church,Columbia,2541.0,472.0,1191.0,220.0,0.0,1883.0,1883.0,74.1
14,Belair Baptist Church,Columbia,2440.0,434.0,760.0,257.0,1.0,1452.0,1452.0,59.5
13,Second Mt Carmel Baptist Church,Columbia,731.0,154.0,175.0,57.0,0.0,386.0,386.0,52.8
12,Eubank-Blanchard Center,Columbia,1576.0,424.0,546.0,96.0,1.0,1067.0,1067.0,67.7
11,Grove First Baptist Church,Columbia,2954.0,272.0,864.0,223.0,1.0,1360.0,1360.0,46.0
9,G A Apostolic Church,Columbia,1701.0,290.0,511.0,176.0,0.0,977.0,977.0,57.4
8,Grovetown Methodist Church,Columbia,2736.0,353.0,593.0,210.0,5.0,1161.0,1161.0,42.4
10,Grovetown Public Safety Station,Columbia,23696.0,379.0,1091.0,320.0,2.0,1792.0,1792.0,7.6
6,Philadelphia Church,Columbia,2355.0,292.0,850.0,201.0,1.0,1344.0,1344.0,57.1
5,Bessie Thomas Center,Columbia,799.0,120.0,383.0,71.0,2.0,576.0,576.0,72.1
4,Second Mt Moriah Baptist Church,Columbia,1027.0,176.0,431.0,89.0,1.0,697.0,697.0,67.9
3,Harlem Senior Center,Columbia,1819.0,378.0,590.0,160.0,0.0,1128.0,1128.0,62.0
2,Harlem Branch Library,Columbia,2642.0,418.0,992.0,241.0,2.0,1653.0,1653.0,62.6
1,New Life Church,Columbia,4438.0,487.0,1482.0,344.0,1.0,2314.0,2314.0,52.1
7,Liberty Park-Grovetown,Columbia,3410.0,424.0,994.0,265.0,2.0,1685.0,1685.0,49.4
20,137,McDuffie,1202.0,86.0,609.0,133.0,0.0,828.0,828.0,68.9
15,132,McDuffie,1507.0,113.0,794.0,171.0,0.0,1078.0,1078.0,71.5
16,133A,McDuffie,1278.0,126.0,460.0,123.0,0.0,709.0,709.0,55.5
17,133B,McDuffie,1959.0,227.0,832.0,193.0,0.0,1252.0,1252.0,63.9
18,135,McDuffie,3089.0,217.0,1242.0,322.0,0.0,1781.0,1781.0,57.7
19,136,McDuffie,1940.0,132.0,305.0,162.0,0.0,599.0,599.0,30.9
21,139,McDuffie,978.0,89.0,378.0,102.0,0.0,569.0,569.0,58.2
