,Precinct,County,Registered Voters,Michael McConnell (Rep)_Election Day Votes,Michael McConnell (Rep)_Advanced Voting Votes,Michael McConnell (Rep)_Absentee by Mail Votes,Michael McConnell (Rep)_Provisional Votes,Michael McConnell (Rep)_Choice Total,Shelly Hutchinson (I) (Dem)_Election Day Votes,Shelly Hutchinson (I) (Dem)_Advanced Voting Votes,Shelly Hutchinson (I) (Dem)_Absentee by Mail Votes,Shelly Hutchinson (I) (Dem)_Provisional Votes,Shelly Hutchinson (I) (Dem)_Choice Total,Total,calc_participation
0,MARTINS C,Gwinnett,2549.0,168.0,312.0,186.0,0.0,666.0,230.0,508.0,349.0,4.0,1091.0,1757.0,68.9
1,CATES G,Gwinnett,2875.0,204.0,672.0,368.0,0.0,1244.0,121.0,528.0,424.0,0.0,1073.0,2317.0,80.6
2,CATES I,Gwinnett,3537.0,260.0,585.0,293.0,1.0,1139.0,192.0,825.0,564.0,0.0,1581.0,2720.0,76.9
3,CATES K,Gwinnett,2810.0,253.0,495.0,247.0,3.0,998.0,151.0,566.0,375.0,0.0,1092.0,2090.0,74.4
4,LAWRENCEVILLE G,Gwinnett,3046.0,115.0,300.0,127.0,0.0,542.0,243.0,758.0,430.0,1.0,1432.0,1974.0,64.8
5,CATES M,Gwinnett,3988.0,266.0,886.0,450.0,0.0,1602.0,173.0,795.0,595.0,1.0,1564.0,3166.0,79.4
6,MARTINS H,Gwinnett,5037.0,240.0,524.0,348.0,3.0,1115.0,386.0,1053.0,694.0,3.0,2136.0,3251.0,64.5
7,LAWRENCEVILLE J,Gwinnett,2249.0,146.0,216.0,93.0,0.0,455.0,188.0,555.0,305.0,1.0,1049.0,1504.0,66.9
8,MARTINS K,Gwinnett,5352.0,216.0,393.0,242.0,0.0,851.0,476.0,1351.0,801.0,0.0,2628.0,3479.0,65.0
9,LAWRENCEVILLE L,Gwinnett,4802.0,223.0,722.0,335.0,0.0,1280.0,279.0,1148.0,710.0,1.0,2138.0,3418.0,71.2
10,LAWRENCEVILLE N,Gwinnett,2573.0,177.0,293.0,151.0,1.0,622.0,200.0,460.0,282.0,4.0,946.0,1568.0,60.9
