,Precinct,County,Registered Voters,Lori Todd Boyen (Rep)_Election Day Votes,Lori Todd Boyen (Rep)_Advanced Voting Votes,Lori Todd Boyen (Rep)_Absentee by Mail Votes,Lori Todd Boyen (Rep)_Provisional Votes,Lori Todd Boyen (Rep)_Choice Total,Jeffery Chalker (Rep)_Election Day Votes,Jeffery Chalker (Rep)_Advanced Voting Votes,Jeffery Chalker (Rep)_Absentee by Mail Votes,Jeffery Chalker (Rep)_Provisional Votes,Jeffery Chalker (Rep)_Choice Total,Total,calc_participation
0,Edgehill,Glascock,136.0,26.0,27.0,5.0,0.0,58.0,23.0,24.0,8.0,0.0,55.0,113.0,83.1
1,Gibson,Glascock,677.0,70.0,152.0,34.0,0.0,256.0,44.0,117.0,41.0,0.0,202.0,458.0,67.7
2,Mill,Glascock,778.0,69.0,176.0,37.0,0.0,282.0,79.0,151.0,35.0,0.0,265.0,547.0,70.3
3,Mitchell,Glascock,448.0,57.0,86.0,49.0,0.0,192.0,50.0,51.0,20.0,0.0,121.0,313.0,69.9
