,Precinct,County,Registered Voters,Alan Powell (I) (Rep)_Election Day Votes,Alan Powell (I) (Rep)_Advanced Voting Votes,Alan Powell (I) (Rep)_Absentee by Mail Votes,Alan Powell (I) (Rep)_Provisional Votes,Alan Powell (I) (Rep)_Choice Total,Alisha Allen (Dem)_Election Day Votes,Alisha Allen (Dem)_Advanced Voting Votes,Alisha Allen (Dem)_Absentee by Mail Votes,Alisha Allen (Dem)_Provisional Votes,Alisha Allen (Dem)_Choice Total,Total,calc_participation
8,Canon,Franklin,1244.0,288.0,403.0,116.0,0.0,807.0,28.0,40.0,23.0,0.0,91.0,898.0,72.2
4,Carnesville,Franklin,2382.0,256.0,1094.0,228.0,0.0,1578.0,22.0,81.0,62.0,0.0,165.0,1743.0,73.2
5,West Franklin,Franklin,1764.0,317.0,571.0,176.0,0.0,1064.0,37.0,46.0,35.0,0.0,118.0,1182.0,67.0
6,Northeast Franklin,Franklin,2935.0,443.0,1005.0,330.0,2.0,1780.0,48.0,108.0,104.0,0.0,260.0,2040.0,69.5
7,Lavonia,Franklin,2355.0,305.0,751.0,207.0,0.0,1263.0,91.0,118.0,106.0,0.0,315.0,1578.0,67.0
9,Royston,Franklin,2034.0,288.0,646.0,232.0,0.0,1166.0,63.0,90.0,87.0,0.0,240.0,1406.0,69.1
10,Southwest Franklin,Franklin,2432.0,402.0,945.0,222.0,0.0,1569.0,25.0,75.0,54.0,0.0,154.0,1723.0,70.8
15,Bowersville,Hart,1395.0,333.0,430.0,83.0,0.0,846.0,33.0,64.0,27.0,0.0,124.0,970.0,69.5
14,Reed Creek,Hart,2990.0,462.0,1202.0,337.0,1.0,2002.0,62.0,130.0,142.0,0.0,334.0,2336.0,78.1
13,Cokesbury,Hart,1162.0,159.0,299.0,78.0,0.0,536.0,70.0,118.0,92.0,0.0,280.0,816.0,70.2
12,Goldmine,Hart,1901.0,361.0,605.0,168.0,0.0,1134.0,53.0,106.0,71.0,1.0,231.0,1365.0,71.8
17,Bio,Hart,1374.0,253.0,489.0,106.0,0.0,848.0,30.0,105.0,70.0,0.0,205.0,1053.0,76.6
16,Shoal Creek,Hart,1656.0,362.0,552.0,184.0,0.0,1098.0,31.0,53.0,55.0,0.0,139.0,1237.0,74.7
11,Hartwell,Hart,6451.0,501.0,2334.0,669.0,2.0,3506.0,159.0,533.0,412.0,0.0,1104.0,4610.0,71.5
3,Poca,Madison,1127.0,282.0,310.0,110.0,0.0,702.0,26.0,40.0,42.0,0.0,108.0,810.0,71.9
2,Mill,Madison,1646.0,278.0,511.0,115.0,0.0,904.0,31.0,53.0,50.0,0.0,134.0,1038.0,63.1
1,Ila,Madison,1746.0,299.0,543.0,168.0,0.0,1010.0,37.0,50.0,57.0,0.0,144.0,1154.0,66.1
0,Harrison,Madison,610.0,237.0,151.0,58.0,0.0,446.0,10.0,17.0,7.0,0.0,34.0,480.0,78.7
