,Precinct,County,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,calc_participation
63,5B,Appling,1126.0,110.0,252.0,73.0,1.0,436.0,118.0,192.0,52.0,2.0,364.0,800.0,71.0
61,4D,Appling,1493.0,164.0,474.0,126.0,1.0,765.0,92.0,210.0,61.0,0.0,363.0,1128.0,75.6
60,4B,Appling,866.0,195.0,241.0,57.0,0.0,493.0,52.0,79.0,18.0,0.0,149.0,642.0,74.1
59,3C,Appling,1566.0,71.0,426.0,98.0,0.0,595.0,80.0,268.0,125.0,0.0,473.0,1068.0,68.2
58,3A1,Appling,793.0,169.0,203.0,51.0,0.0,423.0,63.0,87.0,16.0,0.0,166.0,589.0,74.3
57,2,Appling,2251.0,117.0,226.0,64.0,0.0,407.0,160.0,442.0,263.0,2.0,867.0,1274.0,56.6
56,1C,Appling,848.0,98.0,242.0,48.0,2.0,390.0,88.0,117.0,26.0,0.0,231.0,621.0,73.2
55,1B,Appling,1309.0,134.0,318.0,85.0,0.0,537.0,126.0,200.0,76.0,0.0,402.0,939.0,71.7
62,5A,Appling,1147.0,86.0,312.0,77.0,1.0,476.0,66.0,180.0,46.0,2.0,294.0,770.0,67.1
41,Tarboro,Camden,979.0,165.0,138.0,46.0,0.0,349.0,85.0,124.0,83.0,0.0,292.0,641.0,65.5
42,Waverly,Camden,1530.0,154.0,275.0,105.0,0.0,534.0,178.0,275.0,191.0,0.0,644.0,1178.0,77.0
43,Woodbine,Camden,1973.0,208.0,367.0,93.0,1.0,669.0,123.0,303.0,186.0,0.0,612.0,1281.0,64.9
44,Browntown,Camden,698.0,100.0,166.0,46.0,0.0,312.0,35.0,61.0,39.0,0.0,135.0,447.0,64.0
45,Harrietts Bluff,Camden,1834.0,298.0,502.0,122.0,0.0,922.0,107.0,205.0,92.0,1.0,405.0,1327.0,72.4
46,West Kingsland,Camden,2782.0,247.0,748.0,158.0,0.0,1153.0,125.0,379.0,117.0,0.0,621.0,1774.0,63.8
49,East Kingsland,Camden,6866.0,419.0,1656.0,383.0,0.0,2458.0,256.0,1049.0,449.0,0.0,1754.0,4212.0,61.3
48,Kingsland,Camden,2274.0,148.0,444.0,93.0,0.0,685.0,106.0,285.0,123.0,0.0,514.0,1199.0,52.7
50,North St Marys,Camden,2095.0,134.0,271.0,77.0,0.0,482.0,108.0,217.0,90.0,1.0,416.0,898.0,42.9
51,St Marys,Camden,3218.0,300.0,663.0,158.0,0.0,1121.0,167.0,429.0,257.0,0.0,853.0,1974.0,61.3
52,South St Marys,Camden,2139.0,164.0,543.0,151.0,2.0,860.0,86.0,308.0,232.0,0.0,626.0,1486.0,69.5
53,Mush Bluff,Camden,2816.0,253.0,711.0,162.0,1.0,1127.0,134.0,404.0,222.0,0.0,760.0,1887.0,67.0
54,West St Marys,Camden,3147.0,187.0,1062.0,352.0,0.0,1601.0,85.0,427.0,282.0,0.0,794.0,2395.0,76.1
47,North Kingsland,Camden,2599.0,169.0,427.0,85.0,0.0,681.0,131.0,422.0,210.0,0.0,763.0,1444.0,55.6
28,College Place UMC,Glynn,2367.0,46.0,179.0,93.0,0.0,318.0,163.0,524.0,287.0,1.0,975.0,1293.0,54.6
30,Urbana-Perry Parks,Glynn,3638.0,43.0,64.0,45.0,0.0,152.0,279.0,651.0,464.0,3.0,1397.0,1549.0,42.6
29,Howard Coffin Park,Glynn,3320.0,63.0,168.0,66.0,0.0,297.0,244.0,710.0,421.0,2.0,1377.0,1674.0,50.4
27,The Chapel,Glynn,2971.0,63.0,212.0,95.0,0.0,370.0,177.0,607.0,344.0,2.0,1130.0,1500.0,50.5
31,Selden Park,Glynn,1439.0,24.0,74.0,16.0,2.0,116.0,99.0,222.0,163.0,1.0,485.0,601.0,41.8
25,Ballard,Glynn,3286.0,97.0,455.0,165.0,3.0,720.0,208.0,658.0,278.0,3.0,1147.0,1867.0,56.8
12,Sterling Elementary,Glynn,4578.0,205.0,800.0,239.0,1.0,1245.0,299.0,970.0,364.0,1.0,1634.0,2879.0,62.9
13,Brookman,Glynn,3460.0,187.0,544.0,122.0,1.0,854.0,284.0,856.0,285.0,3.0,1428.0,2282.0,66.0
14,Satilla Marshes,Glynn,2824.0,138.0,443.0,130.0,0.0,711.0,252.0,726.0,282.0,0.0,1260.0,1971.0,69.8
15,Blythe Island Baptist,Glynn,2529.0,104.0,456.0,125.0,0.0,685.0,208.0,663.0,196.0,2.0,1069.0,1754.0,69.4
16,Christian Renewal,Glynn,3699.0,146.0,740.0,274.0,2.0,1162.0,182.0,1100.0,483.0,2.0,1767.0,2929.0,79.2
26,Northside Baptist,Glynn,3313.0,85.0,210.0,92.0,0.0,387.0,282.0,761.0,446.0,1.0,1490.0,1877.0,56.7
18,St William Catholic Church,Glynn,4333.0,148.0,881.0,244.0,0.0,1273.0,183.0,1403.0,544.0,2.0,2132.0,3405.0,78.6
19,First Baptist,Glynn,4316.0,143.0,902.0,291.0,0.0,1336.0,220.0,1234.0,522.0,2.0,1978.0,3314.0,76.8
20,Jekyll Island,Glynn,774.0,108.0,47.0,35.0,1.0,191.0,161.0,91.0,150.0,1.0,403.0,594.0,76.7
