,Precinct,County,Registered Voters,Deborah Silcox (I) (Rep)_Election Day Votes,Deborah Silcox (I) (Rep)_Advanced Voting Votes,Deborah Silcox (I) (Rep)_Absentee by Mail Votes,Deborah Silcox (I) (Rep)_Provisional Votes,Deborah Silcox (I) (Rep)_Choice Total,Shea Roberts (Dem)_Election Day Votes,Shea Roberts (Dem)_Advanced Voting Votes,Shea Roberts (Dem)_Absentee by Mail Votes,Shea Roberts (Dem)_Provisional Votes,Shea Roberts (Dem)_Choice Total,Total,calc_participation
0,08B,Fulton,3498.0,170.0,1082.0,343.0,2.0,1597.0,47.0,709.0,381.0,0.0,1137.0,2734.0,78.2
23,SS18B,Fulton,241.0,14.0,63.0,23.0,1.0,101.0,2.0,48.0,41.0,0.0,91.0,192.0,79.7
22,SS18A,Fulton,657.0,44.0,166.0,79.0,0.0,289.0,8.0,141.0,100.0,0.0,249.0,538.0,81.9
21,SS16,Fulton,2116.0,96.0,632.0,291.0,4.0,1023.0,28.0,358.0,322.0,2.0,710.0,1733.0,81.9
20,SS13B,Fulton,1278.0,49.0,298.0,67.0,0.0,414.0,46.0,323.0,122.0,1.0,492.0,906.0,70.9
19,SS13A,Fulton,2103.0,86.0,488.0,155.0,2.0,731.0,75.0,431.0,241.0,2.0,749.0,1480.0,70.4
18,SS11D,Fulton,397.0,22.0,106.0,35.0,0.0,163.0,6.0,83.0,64.0,0.0,153.0,316.0,79.6
17,SS11B,Fulton,1412.0,42.0,168.0,51.0,0.0,261.0,77.0,353.0,185.0,1.0,616.0,877.0,62.1
16,SS11A,Fulton,4026.0,154.0,639.0,284.0,2.0,1079.0,195.0,966.0,463.0,10.0,1634.0,2713.0,67.4
15,SS09B,Fulton,3611.0,131.0,1054.0,443.0,3.0,1631.0,46.0,713.0,515.0,1.0,1275.0,2906.0,80.5
14,SS09A,Fulton,3193.0,178.0,853.0,464.0,0.0,1495.0,52.0,543.0,472.0,0.0,1067.0,2562.0,80.2
13,SS08C,Fulton,716.0,24.0,99.0,47.0,0.0,170.0,15.0,189.0,114.0,0.0,318.0,488.0,68.2
12,SS08B,Fulton,696.0,19.0,182.0,91.0,0.0,292.0,13.0,140.0,100.0,0.0,253.0,545.0,78.3
11,SS07B,Fulton,793.0,23.0,132.0,73.0,0.0,228.0,31.0,195.0,101.0,1.0,328.0,556.0,70.1
10,SS07A,Fulton,1254.0,31.0,310.0,207.0,0.0,548.0,18.0,248.0,163.0,0.0,429.0,977.0,77.9
9,SS06,Fulton,1667.0,60.0,452.0,200.0,27.0,739.0,28.0,351.0,236.0,36.0,651.0,1390.0,83.4
8,SS05,Fulton,1853.0,104.0,498.0,204.0,1.0,807.0,31.0,424.0,294.0,0.0,749.0,1556.0,84.0
7,SS04,Fulton,3763.0,151.0,557.0,247.0,8.0,963.0,132.0,1011.0,534.0,11.0,1688.0,2651.0,70.4
6,SS03,Fulton,1577.0,81.0,346.0,117.0,3.0,547.0,37.0,401.0,222.0,1.0,661.0,1208.0,76.6
5,SS02B,Fulton,1318.0,36.0,170.0,62.0,4.0,272.0,42.0,395.0,179.0,3.0,619.0,891.0,67.6
4,SS02A,Fulton,1206.0,33.0,246.0,109.0,1.0,389.0,30.0,287.0,186.0,4.0,507.0,896.0,74.3
3,08N1,Fulton,824.0,31.0,281.0,104.0,2.0,418.0,7.0,137.0,88.0,1.0,233.0,651.0,79.0
2,08D,Fulton,1073.0,39.0,420.0,139.0,14.0,612.0,6.0,146.0,117.0,4.0,273.0,885.0,82.5
1,08C,Fulton,1500.0,67.0,555.0,201.0,0.0,823.0,17.0,211.0,142.0,0.0,370.0,1193.0,79.5
24,SS19B,Fulton,2342.0,52.0,312.0,119.0,34.0,517.0,84.0,701.0,275.0,67.0,1127.0,1644.0,70.2
25,SS31,Fulton,1703.0,56.0,366.0,161.0,0.0,583.0,42.0,404.0,244.0,0.0,690.0,1273.0,74.8
