,Precinct,County,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total,calc_participation
116,MARTINS J,Gwinnett,3923.0,154.0,248.0,129.0,4.0,535.0,463.0,923.0,501.0,5.0,1892.0,2427.0,61.9
118,BERKSHIRE O,Gwinnett,2589.0,190.0,522.0,331.0,1.0,1044.0,119.0,422.0,331.0,2.0,874.0,1918.0,74.1
139,SUWANEE H,Gwinnett,3785.0,336.0,1206.0,513.0,0.0,2055.0,106.0,500.0,396.0,1.0,1003.0,3058.0,80.8
140,SUGAR HILL G,Gwinnett,2814.0,288.0,799.0,282.0,0.0,1369.0,79.0,374.0,347.0,1.0,801.0,2170.0,77.1
141,SUWANEE F,Gwinnett,3966.0,305.0,819.0,353.0,2.0,1479.0,166.0,702.0,538.0,2.0,1408.0,2887.0,72.8
142,LAWRENCEVILLE L,Gwinnett,4802.0,228.0,772.0,395.0,0.0,1395.0,270.0,1089.0,655.0,2.0,2016.0,3411.0,71.0
143,LAWRENCEVILLE M,Gwinnett,7255.0,252.0,591.0,302.0,3.0,1148.0,509.0,2016.0,1021.0,5.0,3551.0,4699.0,64.8
144,BAYCREEK G,Gwinnett,6241.0,264.0,811.0,322.0,0.0,1397.0,323.0,1927.0,876.0,1.0,3127.0,4524.0,72.5
145,BAYCREEK H,Gwinnett,6811.0,367.0,1403.0,577.0,1.0,2348.0,326.0,1689.0,865.0,4.0,2884.0,5232.0,76.8
146,BAYCREEK I,Gwinnett,5899.0,260.0,814.0,394.0,6.0,1474.0,312.0,1478.0,745.0,5.0,2540.0,4014.0,68.0
147,BERKSHIRE Q,Gwinnett,1802.0,156.0,307.0,190.0,1.0,654.0,109.0,285.0,212.0,1.0,607.0,1261.0,70.0
148,GOODWINS I,Gwinnett,2501.0,249.0,413.0,310.0,0.0,972.0,150.0,444.0,330.0,0.0,924.0,1896.0,75.8
149,DULUTH K,Gwinnett,2786.0,86.0,160.0,93.0,1.0,340.0,219.0,557.0,303.0,1.0,1080.0,1420.0,51.0
150,HARBINS C,Gwinnett,2850.0,386.0,633.0,196.0,2.0,1217.0,163.0,584.0,259.0,1.0,1007.0,2224.0,78.0
151,ROCKYCREEK C,Gwinnett,4806.0,344.0,1218.0,393.0,0.0,1955.0,227.0,930.0,509.0,4.0,1670.0,3625.0,75.4
152,LAWRENCEVILLE N,Gwinnett,2573.0,174.0,294.0,174.0,1.0,643.0,202.0,462.0,264.0,6.0,934.0,1577.0,61.3
