,Precinct,County,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total,calc_participation
0,1-01C First Presbyterian Church,Chatham,3187.0,384.0,520.0,489.0,0.0,1393.0,149.0,544.0,433.0,0.0,1126.0,2519.0,79.0
66,7-05C Woodlawn Baptist Church,Chatham,1305.0,134.0,139.0,47.0,0.0,320.0,140.0,173.0,106.0,0.0,419.0,739.0,56.6
65,7-04C Lake Shore Comm Ctr,Chatham,3067.0,199.0,192.0,67.0,0.0,458.0,397.0,709.0,347.0,1.0,1454.0,1912.0,62.3
64,7-03C PB Edwards Gym,Chatham,1290.0,311.0,138.0,86.0,0.0,535.0,95.0,54.0,73.0,0.0,222.0,757.0,58.7
63,7-01C Garden City Senior Ctr,Chatham,1542.0,199.0,196.0,120.0,0.0,515.0,105.0,133.0,132.0,0.0,370.0,885.0,57.4
62,6-11C Bamboo Farms,Chatham,5149.0,332.0,478.0,222.0,4.0,1036.0,437.0,960.0,625.0,6.0,2028.0,3064.0,59.5
61,6-10C Station 3,Chatham,4184.0,402.0,738.0,385.0,2.0,1527.0,250.0,596.0,540.0,5.0,1391.0,2918.0,69.7
60,6-09C Trinity Lutheran Church,Chatham,3319.0,326.0,478.0,338.0,1.0,1143.0,262.0,495.0,332.0,7.0,1096.0,2239.0,67.5
59,6-08C Christ Memorial Baptist Church,Chatham,2194.0,96.0,167.0,111.0,0.0,374.0,231.0,373.0,246.0,2.0,852.0,1226.0,55.9
58,6-06C The Light Church,Chatham,1543.0,145.0,216.0,128.0,0.0,489.0,138.0,174.0,113.0,0.0,425.0,914.0,59.2
57,6-05C Windsor Hall,Chatham,1993.0,148.0,187.0,145.0,0.0,480.0,206.0,316.0,230.0,0.0,752.0,1232.0,61.8
56,6-03C Crusader Comm Center,Chatham,2736.0,281.0,372.0,214.0,1.0,868.0,228.0,432.0,393.0,1.0,1054.0,1922.0,70.2
55,6-02C Windsor Forest Baptist,Chatham,2290.0,413.0,457.0,296.0,0.0,1166.0,133.0,237.0,230.0,1.0,601.0,1767.0,77.2
54,6-01C White Bluff Presbyterian,Chatham,1919.0,160.0,158.0,127.0,3.0,448.0,177.0,321.0,202.0,3.0,703.0,1151.0,60.0
