,Precinct,County,Registered Voters,Garry Guan (Rep)_Election Day Votes,Garry Guan (Rep)_Advanced Voting Votes,Garry Guan (Rep)_Absentee by Mail Votes,Garry Guan (Rep)_Provisional Votes,Garry Guan (Rep)_Choice Total,Sally Harrell (I) (Dem)_Election Day Votes,Sally Harrell (I) (Dem)_Advanced Voting Votes,Sally Harrell (I) (Dem)_Absentee by Mail Votes,Sally Harrell (I) (Dem)_Provisional Votes,Sally Harrell (I) (Dem)_Choice Total,Total,calc_participation
23,Dunwoody Library,DeKalb,2570.0,102.0,767.0,273.0,1.0,1143.0,37.0,585.0,399.0,1.0,1022.0,2165.0,84.2
25,Evansdale Elem,DeKalb,3441.0,143.0,396.0,223.0,1.0,763.0,174.0,867.0,664.0,2.0,1707.0,2470.0,71.8
26,Georgetown Sq,DeKalb,4155.0,151.0,561.0,189.0,4.0,905.0,194.0,1119.0,580.0,4.0,1897.0,2802.0,67.4
27,Henderson Mill,DeKalb,3104.0,108.0,373.0,221.0,1.0,703.0,140.0,829.0,660.0,1.0,1630.0,2333.0,75.2
28,Huntley Hills Elem,DeKalb,3508.0,143.0,334.0,129.0,1.0,607.0,259.0,1041.0,492.0,3.0,1795.0,2402.0,68.5
29,Kingsley Elem,DeKalb,2490.0,191.0,578.0,318.0,3.0,1090.0,83.0,450.0,462.0,6.0,1001.0,2091.0,84.0
30,Kittredge Elem,DeKalb,2161.0,135.0,469.0,195.0,2.0,801.0,61.0,525.0,420.0,2.0,1008.0,1809.0,83.7
31,Livsey Elem,DeKalb,1350.0,70.0,218.0,102.0,0.0,390.0,55.0,376.0,280.0,0.0,711.0,1101.0,81.6
32,Midvale Elem,DeKalb,2747.0,169.0,519.0,293.0,0.0,981.0,88.0,643.0,571.0,3.0,1305.0,2286.0,83.2
33,Mount Vernon East,DeKalb,2651.0,192.0,680.0,259.0,1.0,1132.0,84.0,599.0,397.0,3.0,1083.0,2215.0,83.6
24,Embry Hills,DeKalb,1721.0,64.0,244.0,142.0,0.0,450.0,73.0,435.0,387.0,0.0,895.0,1345.0,78.2
34,Mount Vernon West,DeKalb,2303.0,113.0,548.0,189.0,5.0,855.0,50.0,616.0,355.0,5.0,1026.0,1881.0,81.7
36,Midvale Road,DeKalb,1832.0,46.0,116.0,57.0,0.0,219.0,128.0,600.0,316.0,1.0,1045.0,1264.0,69.0
37,North Peachtree,DeKalb,1916.0,77.0,182.0,95.0,2.0,356.0,119.0,442.0,268.0,4.0,833.0,1189.0,62.1
38,Oakcliff Elem,DeKalb,2125.0,90.0,150.0,98.0,1.0,339.0,240.0,383.0,259.0,5.0,887.0,1226.0,57.7
39,Peachtree Middle,DeKalb,3502.0,107.0,342.0,176.0,3.0,628.0,196.0,1043.0,541.0,3.0,1783.0,2411.0,68.8
40,Pleasantdale Road,DeKalb,4538.0,82.0,208.0,97.0,0.0,387.0,390.0,1080.0,561.0,4.0,2035.0,2422.0,53.4
41,Silver Lake,DeKalb,4979.0,198.0,1020.0,392.0,1.0,1611.0,140.0,1086.0,809.0,1.0,2036.0,3647.0,73.2
42,Skyland,DeKalb,2100.0,147.0,374.0,161.0,2.0,684.0,99.0,511.0,322.0,3.0,935.0,1619.0,77.1
43,Tucker Library,DeKalb,3506.0,11.0,51.0,24.0,0.0,86.0,19.0,130.0,74.0,0.0,223.0,309.0,8.8
44,Tilly Mill Road,DeKalb,1552.0,120.0,351.0,151.0,1.0,623.0,58.0,347.0,237.0,0.0,642.0,1265.0,81.5
35,Montgomery Elem,DeKalb,2446.0,165.0,457.0,211.0,3.0,836.0,85.0,613.0,485.0,3.0,1186.0,2022.0,82.7
45,Warren Tech,DeKalb,1364.0,79.0,118.0,57.0,0.0,254.0,128.0,307.0,215.0,3.0,653.0,907.0,66.5
46,Winters Chapel,DeKalb,1434.0,124.0,295.0,138.0,0.0,557.0,56.0,309.0,257.0,2.0,624.0,1181.0,82.4
21,Dunwoody,DeKalb,3003.0,115.0,446.0,187.0,1.0,749.0,108.0,785.0,540.0,7.0,1440.0,2189.0,72.9
22,Dunwoody 2,DeKalb,2044.0,126.0,488.0,214.0,3.0,831.0,42.0,510.0,330.0,2.0,884.0,1715.0,83.9
11,Austin,DeKalb,2538.0,235.0,586.0,316.0,3.0,1140.0,68.0,525.0,436.0,0.0,1029.0,2169.0,85.5
12,Ashford Dunwoody Rd,DeKalb,2966.0,202.0,639.0,237.0,3.0,1081.0,64.0,772.0,529.0,2.0,1367.0,2448.0,82.5
13,Ashford Parkside,DeKalb,3664.0,186.0,622.0,299.0,1.0,1108.0,97.0,791.0,712.0,5.0,1605.0,2713.0,74.0
14,Brookhaven,DeKalb,3444.0,246.0,680.0,239.0,1.0,1166.0,142.0,855.0,563.0,2.0,1562.0,2728.0,79.2
10,Ashford Park Elem,DeKalb,2432.0,202.0,569.0,174.0,0.0,945.0,94.0,510.0,391.0,0.0,995.0,1940.0,79.8
16,Chesnut Elem,DeKalb,2363.0,103.0,233.0,75.0,1.0,412.0,178.0,704.0,360.0,1.0,1243.0,1655.0,70.0
17,Chamblee 2,DeKalb,3137.0,131.0,533.0,222.0,0.0,886.0,101.0,917.0,554.0,0.0,1572.0,2458.0,78.4
18,Doraville North,DeKalb,3065.0,132.0,192.0,113.0,3.0,440.0,247.0,695.0,419.0,4.0,1365.0,1805.0,58.9
19,Doraville South,DeKalb,1255.0,64.0,101.0,57.0,1.0,223.0,96.0,289.0,203.0,2.0,590.0,813.0,64.8
20,Dresden Elem,DeKalb,5141.0,52.0,132.0,56.0,1.0,241.0,69.0,204.0,223.0,0.0,496.0,737.0,14.3
15,Chamblee,DeKalb,2231.0,110.0,320.0,89.0,1.0,520.0,112.0,592.0,377.0,2.0,1083.0,1603.0,71.9
1,SS17,Fulton,3686.0,190.0,768.0,313.0,6.0,1277.0,149.0,759.0,477.0,9.0,1394.0,2671.0,72.5
0,SS01,Fulton,4846.0,238.0,1331.0,542.0,1.0,2112.0,65.0,881.0,735.0,4.0,1685.0,3797.0,78.4
9,PINCKNEYVILLE A1,Gwinnett,2694.0,301.0,561.0,423.0,0.0,1285.0,100.0,373.0,501.0,0.0,974.0,2259.0,83.9
8,PINCKNEYVILLE Z,Gwinnett,1898.0,288.0,352.0,275.0,0.0,915.0,100.0,220.0,357.0,0.0,677.0,1592.0,83.9
7,PINCKNEYVILLE U,Gwinnett,2090.0,187.0,209.0,124.0,0.0,520.0,230.0,400.0,304.0,5.0,939.0,1459.0,69.8
6,PINCKNEYVILLE P,Gwinnett,2185.0,170.0,257.0,231.0,0.0,658.0,184.0,390.0,365.0,2.0,941.0,1599.0,73.2
5,PINCKNEYVILLE L,Gwinnett,2330.0,291.0,433.0,437.0,0.0,1161.0,110.0,277.0,445.0,0.0,832.0,1993.0,85.5
4,PINCKNEYVILLE N,Gwinnett,3819.0,123.0,197.0,60.0,0.0,380.0,454.0,935.0,496.0,1.0,1886.0,2266.0,59.3
3,PINCKNEYVILLE E,Gwinnett,2184.0,103.0,102.0,60.0,1.0,266.0,238.0,487.0,276.0,3.0,1004.0,1270.0,58.2
2,PINCKNEYVILLE C,Gwinnett,2082.0,253.0,277.0,247.0,1.0,778.0,119.0,337.0,375.0,3.0,834.0,1612.0,77.4
