,Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,calc_participation
132,4B,Clarke,4096.0,234.0,468.0,169.0,1.0,872.0,240.0,973.0,618.0,1.0,1832.0,2704.0,66.0
138,6C,Clarke,3129.0,214.0,482.0,296.0,0.0,992.0,148.0,542.0,573.0,0.0,1263.0,2255.0,72.1
97,Second Mt Moriah Baptist Church,Columbia,1027.0,162.0,402.0,72.0,1.0,637.0,22.0,69.0,48.0,0.0,139.0,776.0,75.6
94,Kiokee Baptist Church,Columbia,2541.0,172.0,342.0,71.0,0.0,585.0,10.0,31.0,16.0,0.0,57.0,642.0,25.3
95,Harlem Branch Library,Columbia,2642.0,126.0,348.0,67.0,2.0,543.0,25.0,67.0,26.0,0.0,118.0,661.0,25.0
96,Harlem Senior Center,Columbia,1819.0,205.0,247.0,43.0,0.0,495.0,62.0,117.0,87.0,0.0,266.0,761.0,41.8
98,Bessie Thomas Center,Columbia,799.0,111.0,366.0,59.0,2.0,538.0,7.0,44.0,23.0,0.0,74.0,612.0,76.6
99,Eubank-Blanchard Center,Columbia,1576.0,378.0,496.0,76.0,1.0,951.0,72.0,99.0,80.0,0.0,251.0,1202.0,76.3
101,Damascus Baptist Church,Columbia,1023.0,357.0,304.0,74.0,1.0,736.0,28.0,31.0,23.0,0.0,82.0,818.0,80.0
102,Greenbrier High,Columbia,3369.0,510.0,1222.0,236.0,3.0,1971.0,84.0,350.0,260.0,1.0,695.0,2666.0,79.1
103,Grace Baptist Church,Columbia,3558.0,422.0,1012.0,179.0,0.0,1613.0,121.0,623.0,337.0,0.0,1081.0,2694.0,75.7
100,Second Mt Carmel Baptist Church,Columbia,731.0,107.0,139.0,24.0,0.0,270.0,117.0,73.0,80.0,0.0,270.0,540.0,73.9
169,Edgehill,Glascock,136.0,50.0,45.0,11.0,0.0,106.0,0.0,8.0,2.0,0.0,10.0,116.0,85.3
