,Precinct,County,Registered Voters,Gloria Gunby Thompson (I) (Rep)_Election Day Votes,Gloria Gunby Thompson (I) (Rep)_Advanced Voting Votes,Gloria Gunby Thompson (I) (Rep)_Absentee by Mail Votes,Gloria Gunby Thompson (I) (Rep)_Provisional Votes,Gloria Gunby Thompson (I) (Rep)_Choice Total,Total,calc_participation
0,132,McDuffie,1507.0,110.0,769.0,166.0,0.0,1045.0,1045.0,69.3
1,133A,McDuffie,1278.0,78.0,291.0,57.0,0.0,426.0,426.0,33.3
2,133B,McDuffie,1959.0,212.0,772.0,177.0,0.0,1161.0,1161.0,59.3
3,134,McDuffie,1908.0,8.0,59.0,16.0,0.0,83.0,83.0,4.4
4,135,McDuffie,3089.0,140.0,869.0,216.0,0.0,1225.0,1225.0,39.7
5,137,McDuffie,1202.0,84.0,607.0,137.0,0.0,828.0,828.0,68.9
6,139,McDuffie,978.0,89.0,368.0,104.0,0.0,561.0,561.0,57.4
