,Precinct,County,Registered Voters,Tom Odom (I) (Rep)_Election Day Votes,Tom Odom (I) (Rep)_Advanced Voting Votes,Tom Odom (I) (Rep)_Absentee by Mail Votes,Tom Odom (I) (Rep)_Provisional Votes,Tom Odom (I) (Rep)_Choice Total,Total,calc_participation
0,City Hall,Oconee,3910.0,333.0,1766.0,499.0,0.0,2598.0,2598.0,66.4
1,Colham Ferry,Oconee,1847.0,205.0,899.0,241.0,0.0,1345.0,1345.0,72.8
2,Antioch,Oconee,1397.0,240.0,588.0,171.0,0.0,999.0,999.0,71.5
3,Farmington,Oconee,737.0,157.0,276.0,81.0,0.0,514.0,514.0,69.7
4,Bishop,Oconee,1938.0,235.0,889.0,228.0,2.0,1354.0,1354.0,69.9
5,High Shoals,Oconee,1939.0,230.0,997.0,219.0,0.0,1446.0,1446.0,74.6
6,North Oconee,Oconee,1244.0,182.0,601.0,165.0,0.0,948.0,948.0,76.2
7,Dark Corner,Oconee,3541.0,465.0,1803.0,421.0,1.0,2690.0,2690.0,76.0
8,Bogart,Oconee,2384.0,351.0,981.0,310.0,0.0,1642.0,1642.0,68.9
9,Marswood Hall,Oconee,4091.0,312.0,1851.0,792.0,1.0,2956.0,2956.0,72.3
10,East Oconee,Oconee,2647.0,161.0,1176.0,371.0,0.0,1708.0,1708.0,64.5
11,Civic Center,Oconee,4396.0,322.0,2055.0,698.0,0.0,3075.0,3075.0,69.9
