,Precinct,County,Registered Voters,David Ralston (I) (Rep)_Election Day Votes,David Ralston (I) (Rep)_Advanced Voting Votes,David Ralston (I) (Rep)_Absentee by Mail Votes,David Ralston (I) (Rep)_Provisional Votes,David Ralston (I) (Rep)_Choice Total,Rick D. Day (Dem)_Election Day Votes,Rick D. Day (Dem)_Advanced Voting Votes,Rick D. Day (Dem)_Absentee by Mail Votes,Rick D. Day (Dem)_Provisional Votes,Rick D. Day (Dem)_Choice Total,Total,calc_participation
13,West,Dawson,2723.0,400.0,915.0,348.0,0.0,1663.0,33.0,191.0,216.0,0.0,440.0,2103.0,77.2
25,Toccoa,Fannin,3553.0,475.0,1102.0,409.0,3.0,1989.0,51.0,191.0,163.0,1.0,406.0,2395.0,67.4
23,Skeniah,Fannin,331.0,110.0,54.0,42.0,1.0,207.0,11.0,17.0,24.0,1.0,53.0,260.0,78.5
22,Noontootla,Fannin,839.0,175.0,223.0,144.0,0.0,542.0,19.0,43.0,46.0,0.0,108.0,650.0,77.5
21,Morganton,Fannin,2067.0,448.0,555.0,244.0,2.0,1249.0,46.0,103.0,89.0,0.0,238.0,1487.0,71.9
20,Mobile,Fannin,1160.0,304.0,276.0,130.0,0.0,710.0,31.0,40.0,41.0,0.0,112.0,822.0,70.9
19,Mineral Bluff,Fannin,1817.0,340.0,577.0,240.0,0.0,1157.0,22.0,74.0,87.0,0.0,183.0,1340.0,73.7
18,Hothouse,Fannin,1290.0,260.0,362.0,136.0,6.0,764.0,18.0,57.0,74.0,0.0,149.0,913.0,70.8
17,Hemptown,Fannin,1336.0,332.0,323.0,121.0,3.0,779.0,32.0,59.0,66.0,0.0,157.0,936.0,70.1
16,Flinthill,Fannin,3202.0,636.0,796.0,354.0,2.0,1788.0,64.0,84.0,109.0,0.0,257.0,2045.0,63.9
15,Fairplay,Fannin,1262.0,301.0,302.0,111.0,0.0,714.0,33.0,60.0,58.0,0.0,151.0,865.0,68.5
14,Colwell,Fannin,1105.0,266.0,299.0,125.0,0.0,690.0,28.0,43.0,77.0,0.0,148.0,838.0,75.8
24,Sugar Creek,Fannin,2437.0,381.0,798.0,278.0,0.0,1457.0,32.0,128.0,126.0,1.0,287.0,1744.0,71.6
0,Ellijay South,Gilmer,3172.0,353.0,1082.0,317.0,2.0,1754.0,61.0,184.0,205.0,0.0,450.0,2204.0,69.5
10,Yukon,Gilmer,1288.0,345.0,332.0,112.0,0.0,789.0,27.0,47.0,49.0,0.0,123.0,912.0,70.8
9,Ellijay North,Gilmer,1810.0,290.0,575.0,188.0,1.0,1054.0,21.0,91.0,54.0,0.0,166.0,1220.0,67.4
8,East Ellijay,Gilmer,1655.0,230.0,592.0,196.0,0.0,1018.0,34.0,88.0,55.0,0.0,177.0,1195.0,72.2
7,Mountaintown,Gilmer,1139.0,262.0,340.0,117.0,1.0,720.0,25.0,56.0,41.0,0.0,122.0,842.0,73.9
6,Boardtown,Gilmer,1391.0,283.0,477.0,172.0,4.0,936.0,31.0,62.0,96.0,0.0,189.0,1125.0,80.9
5,Cherry Log,Gilmer,926.0,246.0,205.0,103.0,0.0,554.0,42.0,67.0,57.0,0.0,166.0,720.0,77.8
4,Leaches,Gilmer,2939.0,525.0,899.0,303.0,2.0,1729.0,51.0,166.0,147.0,0.0,364.0,2093.0,71.2
3,Town Creek,Gilmer,1234.0,300.0,323.0,100.0,0.0,723.0,31.0,26.0,38.0,0.0,95.0,818.0,66.3
2,Tails Creek,Gilmer,1782.0,448.0,450.0,134.0,0.0,1032.0,42.0,61.0,47.0,0.0,150.0,1182.0,66.3
1,Cartecay,Gilmer,1598.0,397.0,459.0,170.0,2.0,1028.0,22.0,57.0,79.0,0.0,158.0,1186.0,74.2
11,Big Creek,Gilmer,1479.0,369.0,398.0,165.0,0.0,932.0,27.0,54.0,87.0,0.0,168.0,1100.0,74.4
12,Ellijay Northeast,Gilmer,1851.0,234.0,664.0,198.0,0.0,1096.0,13.0,114.0,111.0,0.0,238.0,1334.0,72.1
