,Precinct,County,Registered Voters,L. James Kelly_Election Day Votes,L. James Kelly_Advanced Voting Votes,L. James Kelly_Absentee by Mail Votes,L. James Kelly_Provisional Votes,L. James Kelly_Choice Total,Narda Konchel_Election Day Votes,Narda Konchel_Advanced Voting Votes,Narda Konchel_Absentee by Mail Votes,Narda Konchel_Provisional Votes,Narda Konchel_Choice Total,Total,calc_participation
0,Legacy Bapt Church,Paulding,4443.0,35.0,114.0,65.0,0.0,214.0,27.0,77.0,46.0,1.0,151.0,365.0,8.2
1,Watson Govt Cmplx,Paulding,10774.0,392.0,1346.0,536.0,4.0,2278.0,217.0,881.0,356.0,3.0,1457.0,3735.0,34.7
2,Poplar Sprgs Bapt Church,Paulding,4825.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,White Oak Park,Paulding,5833.0,59.0,178.0,66.0,1.0,304.0,44.0,199.0,84.0,1.0,328.0,632.0,10.8
