,Precinct,County,Registered Voters,Kylon J. Fort (I) (Rep)_Election Day Votes,Kylon J. Fort (I) (Rep)_Advanced Voting Votes,Kylon J. Fort (I) (Rep)_Absentee by Mail Votes,Kylon J. Fort (I) (Rep)_Provisional Votes,Kylon J. Fort (I) (Rep)_Choice Total,Total,Vincent L. Kearse_Election Day Votes,Vincent L. Kearse_Advanced Voting Votes,Vincent L. Kearse_Absentee by Mail Votes,Vincent L. Kearse_Provisional Votes,Vincent L. Kearse_Choice Total,Mary L. Baker (I) (Dem)_Election Day Votes,Mary L. Baker (I) (Dem)_Advanced Voting Votes,Mary L. Baker (I) (Dem)_Absentee by Mail Votes,Mary L. Baker (I) (Dem)_Provisional Votes,Mary L. Baker (I) (Dem)_Choice Total,Rickey Bailey (I) (Rep)_Election Day Votes,Rickey Bailey (I) (Rep)_Advanced Voting Votes,Rickey Bailey (I) (Rep)_Absentee by Mail Votes,Rickey Bailey (I) (Rep)_Provisional Votes,Rickey Bailey (I) (Rep)_Choice Total,John Jessup (I) (Rep)_Election Day Votes,John Jessup (I) (Rep)_Advanced Voting Votes,John Jessup (I) (Rep)_Absentee by Mail Votes,John Jessup (I) (Rep)_Provisional Votes,John Jessup (I) (Rep)_Choice Total,Dan Cecil Stewart (I) (Rep)_Election Day Votes,Dan Cecil Stewart (I) (Rep)_Advanced Voting Votes,Dan Cecil Stewart (I) (Rep)_Absentee by Mail Votes,Dan Cecil Stewart (I) (Rep)_Provisional Votes,Dan Cecil Stewart (I) (Rep)_Choice Total,Lajoy R. Boney (I) (Dem)_Election Day Votes,Lajoy R. Boney (I) (Dem)_Advanced Voting Votes,Lajoy R. Boney (I) (Dem)_Absentee by Mail Votes,Lajoy R. Boney (I) (Dem)_Provisional Votes,Lajoy R. Boney (I) (Dem)_Choice Total,Chris Culver (I) (Rep)_Election Day Votes,Chris Culver (I) (Rep)_Advanced Voting Votes,Chris Culver (I) (Rep)_Absentee by Mail Votes,Chris Culver (I) (Rep)_Provisional Votes,Chris Culver (I) (Rep)_Choice Total,calc_participation
15,02 Bethlehem Church - 211,Barrow,6784.0,,,,,,1285.0,,,,,,,,,,,230.0,825.0,230.0,0.0,1285.0,,,,,,,,,,,,,,,,,,,,,18.9
17,13 Winder Community Center,Barrow,9393.0,,,,,,3805.0,,,,,,,,,,,730.0,2395.0,680.0,0.0,3805.0,,,,,,,,,,,,,,,,,,,,,40.5
16,04 Covenant Life Sanctuary,Barrow,4012.0,,,,,,142.0,,,,,,,,,,,31.0,81.0,30.0,0.0,142.0,,,,,,,,,,,,,,,,,,,,,3.5
0,Ray City,Berrien,1946.0,26.0,95.0,15.0,1.0,137.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
1,Nashville,Berrien,6079.0,157.0,694.0,139.0,1.0,991.0,991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
5,Jonesboro 3,Clayton,4107.0,,,,,,2001.0,,,,,,252.0,1083.0,663.0,3.0,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,48.7
6,Jonesboro 5,Clayton,2064.0,,,,,,1048.0,,,,,,232.0,521.0,295.0,0.0,1048.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.8
7,Jonesboro 6,Clayton,2574.0,,,,,,1439.0,,,,,,165.0,701.0,570.0,3.0,1439.0,,,,,,,,,,,,,,,,,,,,,,,,,,55.9
8,Jonesboro 10,Clayton,3398.0,,,,,,363.0,,,,,,98.0,155.0,109.0,1.0,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
9,Jonesboro 11,Clayton,3863.0,,,,,,866.0,,,,,,107.0,512.0,246.0,1.0,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.4
10,Jonesboro 13,Clayton,2140.0,,,,,,1309.0,,,,,,252.0,688.0,366.0,3.0,1309.0,,,,,,,,,,,,,,,,,,,,,,,,,,61.2
11,Jonesboro 14,Clayton,4116.0,,,,,,2456.0,,,,,,296.0,1354.0,804.0,2.0,2456.0,,,,,,,,,,,,,,,,,,,,,,,,,,59.7
