,Precinct,County,Registered Voters,Dexter L. Sharper (I) (Dem)_Election Day Votes,Dexter L. Sharper (I) (Dem)_Advanced Voting Votes,Dexter L. Sharper (I) (Dem)_Absentee by Mail Votes,Dexter L. Sharper (I) (Dem)_Provisional Votes,Dexter L. Sharper (I) (Dem)_Choice Total,Total,calc_participation
0,Trinity,Lowndes,10900.0,291.0,1043.0,361.0,10.0,1705.0,1705.0,15.6
1,Northside,Lowndes,17467.0,646.0,2468.0,1083.0,66.0,4263.0,4263.0,24.4
2,Rainwater,Lowndes,9877.0,298.0,1009.0,407.0,11.0,1725.0,1725.0,17.5
3,Mildred,Lowndes,4283.0,366.0,965.0,549.0,19.0,1899.0,1899.0,44.3
4,Dasher,Lowndes,4255.0,47.0,177.0,44.0,0.0,268.0,268.0,6.3
5,VSU UC # 2,Lowndes,318.0,47.0,58.0,10.0,2.0,117.0,117.0,36.8
6,Jaycee Shack,Lowndes,6273.0,434.0,1772.0,781.0,40.0,3027.0,3027.0,48.3
7,Mt Calvary,Lowndes,4447.0,237.0,932.0,359.0,66.0,1594.0,1594.0,35.8
