,Precinct,County,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total,calc_participation
0,01A,Fulton,3694.0,174.0,1699.0,705.0,24.0,2602.0,2602.0,70.4
261,ML05,Fulton,4843.0,266.0,1530.0,753.0,11.0,2560.0,2560.0,52.9
260,ML04,Fulton,3322.0,169.0,1050.0,428.0,21.0,1668.0,1668.0,50.2
259,ML03A,Fulton,301.0,13.0,95.0,13.0,0.0,121.0,121.0,40.2
258,ML03,Fulton,3718.0,220.0,1143.0,500.0,6.0,1869.0,1869.0,50.3
257,ML02B,Fulton,1914.0,105.0,588.0,244.0,1.0,938.0,938.0,49.0
256,ML02A,Fulton,2580.0,172.0,711.0,336.0,1.0,1220.0,1220.0,47.3
255,ML01B,Fulton,708.0,35.0,229.0,100.0,0.0,364.0,364.0,51.4
254,ML01A,Fulton,2795.0,142.0,1068.0,378.0,24.0,1612.0,1612.0,57.7
253,JC19,Fulton,4174.0,154.0,1425.0,706.0,12.0,2297.0,2297.0,55.0
262,ML06A,Fulton,2181.0,154.0,706.0,258.0,7.0,1125.0,1125.0,51.6
252,JC18,Fulton,2857.0,106.0,1006.0,452.0,3.0,1567.0,1567.0,54.8
250,JC15,Fulton,959.0,53.0,355.0,139.0,0.0,547.0,547.0,57.0
249,JC14,Fulton,2608.0,95.0,960.0,391.0,2.0,1448.0,1448.0,55.5
248,JC13B,Fulton,282.0,4.0,98.0,36.0,1.0,139.0,139.0,49.3
247,JC13A,Fulton,2317.0,86.0,716.0,337.0,1.0,1140.0,1140.0,49.2
246,JC12,Fulton,2832.0,73.0,841.0,488.0,5.0,1407.0,1407.0,49.7
245,JC11,Fulton,3497.0,208.0,1106.0,526.0,0.0,1840.0,1840.0,52.6
244,JC10,Fulton,2641.0,138.0,890.0,490.0,12.0,1530.0,1530.0,57.9
243,JC09,Fulton,3250.0,184.0,1103.0,542.0,3.0,1832.0,1832.0,56.4
242,JC08,Fulton,2931.0,131.0,1066.0,502.0,5.0,1704.0,1704.0,58.1
251,JC16,Fulton,2707.0,127.0,981.0,417.0,1.0,1526.0,1526.0,56.4
241,JC07,Fulton,4670.0,169.0,1561.0,920.0,23.0,2673.0,2673.0,57.2
263,ML06B,Fulton,3119.0,189.0,1042.0,509.0,4.0,1744.0,1744.0,55.9
265,ML07B,Fulton,1675.0,153.0,438.0,221.0,1.0,813.0,813.0,48.5
285,RW17,Fulton,3100.0,230.0,1009.0,439.0,4.0,1682.0,1682.0,54.3
284,RW16,Fulton,2101.0,102.0,738.0,326.0,4.0,1170.0,1170.0,55.7
283,RW13,Fulton,3764.0,239.0,1338.0,555.0,6.0,2138.0,2138.0,56.8
282,RW12A,Fulton,2458.0,134.0,784.0,128.0,2.0,1048.0,1048.0,42.6
281,RW12,Fulton,3899.0,241.0,1270.0,929.0,4.0,2444.0,2444.0,62.7
280,RW11A,Fulton,2865.0,187.0,827.0,512.0,8.0,1534.0,1534.0,53.5
279,RW10,Fulton,3653.0,150.0,1221.0,660.0,9.0,2040.0,2040.0,55.8
278,RW09A,Fulton,1892.0,100.0,590.0,105.0,2.0,797.0,797.0,42.1
277,RW09,Fulton,4450.0,222.0,1323.0,938.0,3.0,2486.0,2486.0,55.9
264,ML07A,Fulton,836.0,86.0,225.0,111.0,0.0,422.0,422.0,50.5
276,RW08,Fulton,2429.0,130.0,615.0,425.0,6.0,1176.0,1176.0,48.4
274,RW07A,Fulton,1773.0,217.0,451.0,155.0,2.0,825.0,825.0,46.5
273,RW06,Fulton,3071.0,164.0,1073.0,475.0,7.0,1719.0,1719.0,56.0
272,RW05,Fulton,2910.0,241.0,832.0,404.0,10.0,1487.0,1487.0,51.1
