,Precinct,County,Registered Voters,Steve Gooch (I) (Rep)_Election Day Votes,Steve Gooch (I) (Rep)_Advanced Voting Votes,Steve Gooch (I) (Rep)_Absentee by Mail Votes,Steve Gooch (I) (Rep)_Provisional Votes,Steve Gooch (I) (Rep)_Choice Total,June Krise (Dem)_Election Day Votes,June Krise (Dem)_Advanced Voting Votes,June Krise (Dem)_Absentee by Mail Votes,June Krise (Dem)_Provisional Votes,June Krise (Dem)_Choice Total,Total,calc_participation
16,East,Dawson,8915.0,1010.0,3706.0,895.0,0.0,5611.0,123.0,450.0,432.0,1.0,1006.0,6617.0,74.2
15,Central,Dawson,9891.0,946.0,4409.0,795.0,2.0,6152.0,82.0,442.0,270.0,0.0,794.0,6946.0,70.2
14,West,Dawson,2723.0,404.0,933.0,344.0,0.0,1681.0,29.0,182.0,222.0,0.0,433.0,2114.0,77.6
57,Toccoa,Fannin,3553.0,482.0,1100.0,390.0,4.0,1976.0,47.0,209.0,192.0,0.0,448.0,2424.0,68.2
55,Skeniah,Fannin,331.0,109.0,57.0,44.0,1.0,211.0,10.0,18.0,23.0,1.0,52.0,263.0,79.5
54,Noontootla,Fannin,839.0,174.0,222.0,135.0,0.0,531.0,20.0,45.0,53.0,0.0,118.0,649.0,77.4
53,Morganton,Fannin,2067.0,444.0,561.0,242.0,2.0,1249.0,46.0,109.0,95.0,0.0,250.0,1499.0,72.5
52,Mobile,Fannin,1160.0,299.0,272.0,129.0,0.0,700.0,27.0,43.0,44.0,0.0,114.0,814.0,70.2
51,Mineral Bluff,Fannin,1817.0,335.0,569.0,225.0,0.0,1129.0,27.0,76.0,103.0,0.0,206.0,1335.0,73.5
50,Hothouse,Fannin,1290.0,265.0,367.0,132.0,7.0,771.0,15.0,59.0,82.0,0.0,156.0,927.0,71.9
49,Hemptown,Fannin,1336.0,339.0,319.0,119.0,3.0,780.0,29.0,66.0,70.0,0.0,165.0,945.0,70.7
48,Flinthill,Fannin,3202.0,634.0,785.0,352.0,2.0,1773.0,65.0,89.0,124.0,0.0,278.0,2051.0,64.1
47,Fairplay,Fannin,1262.0,296.0,308.0,110.0,0.0,714.0,28.0,64.0,63.0,0.0,155.0,869.0,68.9
46,Colwell,Fannin,1105.0,280.0,290.0,122.0,0.0,692.0,25.0,48.0,80.0,0.0,153.0,845.0,76.5
56,Sugar Creek,Fannin,2437.0,387.0,782.0,270.0,0.0,1439.0,30.0,132.0,139.0,1.0,302.0,1741.0,71.4
28,06 Crossroads,Forsyth,7061.0,184.0,821.0,162.0,0.0,1167.0,38.0,196.0,91.0,0.0,325.0,1492.0,21.1
12,Ellijay Northeast,Gilmer,1851.0,237.0,661.0,184.0,0.0,1082.0,17.0,117.0,124.0,0.0,258.0,1340.0,72.4
1,Cartecay,Gilmer,1598.0,399.0,460.0,173.0,2.0,1034.0,22.0,58.0,81.0,0.0,161.0,1195.0,74.8
2,Tails Creek,Gilmer,1782.0,433.0,454.0,131.0,0.0,1018.0,51.0,60.0,47.0,0.0,158.0,1176.0,66.0
3,Town Creek,Gilmer,1234.0,296.0,321.0,91.0,0.0,708.0,30.0,25.0,49.0,0.0,104.0,812.0,65.8
4,Leaches,Gilmer,2939.0,525.0,901.0,297.0,2.0,1725.0,47.0,168.0,160.0,0.0,375.0,2100.0,71.5
