,Precinct,County,Registered Voters,Dale Rutledge (I) (Rep)_Election Day Votes,Dale Rutledge (I) (Rep)_Advanced Voting Votes,Dale Rutledge (I) (Rep)_Absentee by Mail Votes,Dale Rutledge (I) (Rep)_Provisional Votes,Dale Rutledge (I) (Rep)_Choice Total,Regina Lewis-Ward (Dem)_Election Day Votes,Regina Lewis-Ward (Dem)_Advanced Voting Votes,Regina Lewis-Ward (Dem)_Absentee by Mail Votes,Regina Lewis-Ward (Dem)_Provisional Votes,Regina Lewis-Ward (Dem)_Choice Total,Total,calc_participation
3,McMullen,Henry,3719.0,485.0,1224.0,241.0,0.0,1950.0,120.0,527.0,271.0,0.0,918.0,2868.0,77.1
4,East Lake,Henry,3389.0,249.0,1308.0,324.0,0.0,1881.0,95.0,468.0,245.0,0.0,808.0,2689.0,79.3
5,Hickory Flat,Henry,5122.0,96.0,612.0,205.0,0.0,913.0,152.0,819.0,345.0,0.0,1316.0,2229.0,43.5
6,Stockbridge East-West,Henry,6541.0,85.0,317.0,168.0,1.0,571.0,286.0,1865.0,961.0,0.0,3112.0,3683.0,56.3
7,Stagecoach,Henry,3546.0,107.0,635.0,167.0,0.0,909.0,205.0,876.0,366.0,0.0,1447.0,2356.0,66.4
8,Flippen,Henry,4430.0,24.0,186.0,86.0,0.0,296.0,50.0,428.0,215.0,0.0,693.0,989.0,22.3
9,Kelleytown,Henry,3452.0,343.0,1093.0,238.0,0.0,1674.0,116.0,679.0,288.0,0.0,1083.0,2757.0,79.9
10,Mt Bethel,Henry,3535.0,651.0,1087.0,172.0,0.0,1910.0,143.0,382.0,206.0,0.0,731.0,2641.0,74.7
11,Lake Haven,Henry,4260.0,275.0,1055.0,276.0,0.0,1606.0,182.0,893.0,379.0,0.0,1454.0,3060.0,71.8
12,McDonough Central,Henry,4250.0,52.0,374.0,161.0,0.0,587.0,112.0,721.0,327.0,0.0,1160.0,1747.0,41.1
13,Timberridge,Henry,2096.0,248.0,583.0,151.0,2.0,984.0,75.0,400.0,184.0,0.0,659.0,1643.0,78.4
0,Downs,Newton,6215.0,330.0,377.0,135.0,0.0,842.0,211.0,458.0,337.0,0.0,1006.0,1848.0,29.7
1,BA,Rockdale,4803.0,228.0,775.0,283.0,0.0,1286.0,250.0,1286.0,635.0,0.0,2171.0,3457.0,72.0
2,MA,Rockdale,3180.0,106.0,215.0,95.0,0.0,416.0,74.0,246.0,131.0,0.0,451.0,867.0,27.3
