,Precinct,County,Registered Voters,"Henry """"Wayne"""" Howard (I) (Dem)_Election Day Votes","Henry """"Wayne"""" Howard (I) (Dem)_Advanced Voting Votes","Henry """"Wayne"""" Howard (I) (Dem)_Absentee by Mail Votes","Henry """"Wayne"""" Howard (I) (Dem)_Provisional Votes","Henry """"Wayne"""" Howard (I) (Dem)_Choice Total",Total,calc_participation
0,101.0,Richmond,896.0,134.0,209.0,150.0,0.0,493.0,493.0,55.0
19,707.0,Richmond,2122.0,309.0,531.0,251.0,0.0,1091.0,1091.0,51.4
18,703.0,Richmond,4644.0,539.0,1064.0,609.0,2.0,2214.0,2214.0,47.7
17,702.0,Richmond,1943.0,273.0,434.0,248.0,0.0,955.0,955.0,49.2
16,507.0,Richmond,968.0,162.0,241.0,148.0,1.0,552.0,552.0,57.0
15,504.0,Richmond,2339.0,321.0,424.0,327.0,0.0,1072.0,1072.0,45.8
14,304.0,Richmond,365.0,46.0,83.0,67.0,0.0,196.0,196.0,53.7
13,302.0,Richmond,1032.0,155.0,242.0,139.0,0.0,536.0,536.0,51.9
12,210.0,Richmond,1507.0,168.0,351.0,367.0,4.0,890.0,890.0,59.1
11,208.0,Richmond,2651.0,334.0,529.0,425.0,1.0,1289.0,1289.0,48.6
10,207.0,Richmond,2705.0,359.0,459.0,418.0,4.0,1240.0,1240.0,45.8
9,204.0,Richmond,1578.0,214.0,344.0,240.0,3.0,801.0,801.0,50.8
8,203.0,Richmond,991.0,142.0,173.0,197.0,2.0,514.0,514.0,51.9
7,201.0,Richmond,581.0,242.0,273.0,227.0,3.0,745.0,745.0,128.2
6,112.0,Richmond,882.0,57.0,158.0,191.0,0.0,406.0,406.0,46.0
5,111.0,Richmond,1578.0,200.0,280.0,296.0,1.0,777.0,777.0,49.2
4,106.0,Richmond,1182.0,159.0,130.0,142.0,1.0,432.0,432.0,36.5
3,105.0,Richmond,832.0,114.0,227.0,171.0,1.0,513.0,513.0,61.7
2,103.0,Richmond,1428.0,155.0,304.0,283.0,2.0,744.0,744.0,52.1
1,102.0,Richmond,1278.0,149.0,189.0,206.0,1.0,545.0,545.0,42.6
20,708.0,Richmond,305.0,18.0,92.0,35.0,0.0,145.0,145.0,47.5
21,709.0,Richmond,576.0,51.0,142.0,111.0,0.0,304.0,304.0,52.8
