,Precinct,County,Registered Voters,Dewayne Hill (I) (Rep)_Election Day Votes,Dewayne Hill (I) (Rep)_Advanced Voting Votes,Dewayne Hill (I) (Rep)_Absentee by Mail Votes,Dewayne Hill (I) (Rep)_Provisional Votes,Dewayne Hill (I) (Rep)_Choice Total,Total,calc_participation
0,Boynton,Catoosa,6027.0,769.0,2679.0,491.0,2.0,3941.0,3941.0,65.4
1,Catoosa Keith,Catoosa,2611.0,519.0,927.0,200.0,0.0,1646.0,1646.0,63.0
2,Ft Oglethorpe,Catoosa,4054.0,424.0,1468.0,386.0,1.0,2279.0,2279.0,56.2
3,Graysville,Catoosa,4501.0,617.0,1751.0,325.0,3.0,2696.0,2696.0,59.9
4,Lakeview,Catoosa,3572.0,394.0,1213.0,257.0,2.0,1866.0,1866.0,52.2
5,Poplar Springs,Catoosa,4191.0,518.0,1811.0,333.0,0.0,2662.0,2662.0,63.5
6,Ringgold,Catoosa,7414.0,666.0,3285.0,674.0,1.0,4626.0,4626.0,62.4
7,Westside,Catoosa,5895.0,465.0,2361.0,510.0,2.0,3338.0,3338.0,56.6
