,Precinct,County,Registered Voters,Mike Cheokas (I) (Rep)_Election Day Votes,Mike Cheokas (I) (Rep)_Advanced Voting Votes,Mike Cheokas (I) (Rep)_Absentee by Mail Votes,Mike Cheokas (I) (Rep)_Provisional Votes,Mike Cheokas (I) (Rep)_Choice Total,Marc Arnett (Dem)_Election Day Votes,Marc Arnett (Dem)_Advanced Voting Votes,Marc Arnett (Dem)_Absentee by Mail Votes,Marc Arnett (Dem)_Provisional Votes,Marc Arnett (Dem)_Choice Total,Total,calc_participation
15,Activity Center,Chattahoochee,0.0,280.0,452.0,124.0,2.0,858.0,154.0,327.0,164.0,1.0,646.0,1504.0,
9,Pineknot,Marion,971.0,297.0,226.0,58.0,0.0,581.0,15.0,31.0,30.0,0.0,76.0,657.0,67.7
10,Buena Vista,Marion,2343.0,96.0,541.0,135.0,0.0,772.0,165.0,479.0,348.0,0.0,992.0,1764.0,75.3
11,Tazewell,Marion,320.0,107.0,95.0,20.0,0.0,222.0,12.0,9.0,13.0,0.0,34.0,256.0,80.0
12,Brantley,Marion,396.0,69.0,160.0,34.0,0.0,263.0,10.0,13.0,22.0,0.0,45.0,308.0,77.8
13,Fort Perry,Marion,883.0,177.0,221.0,68.0,0.0,466.0,27.0,46.0,39.0,0.0,112.0,578.0,65.5
14,Precinct One,Schley,2882.0,290.0,1317.0,173.0,1.0,1781.0,75.0,251.0,142.0,0.0,468.0,2249.0,78.0
0,Agri-Center,Sumter,2059.0,142.0,592.0,91.0,0.0,825.0,79.0,320.0,205.0,1.0,605.0,1430.0,69.5
1,Airport,Sumter,1767.0,124.0,483.0,118.0,0.0,725.0,88.0,351.0,177.0,0.0,616.0,1341.0,75.9
2,Andersonville,Sumter,434.0,154.0,82.0,22.0,1.0,259.0,40.0,31.0,28.0,0.0,99.0,358.0,82.5
3,Browns Mill,Sumter,929.0,133.0,265.0,46.0,1.0,445.0,48.0,110.0,76.0,0.0,234.0,679.0,73.1
4,Concord,Sumter,376.0,148.0,79.0,23.0,9.0,259.0,8.0,22.0,10.0,0.0,40.0,299.0,79.5
5,GSW Conf Center,Sumter,3044.0,119.0,720.0,219.0,0.0,1058.0,155.0,577.0,282.0,2.0,1016.0,2074.0,68.1
6,Plains,Sumter,1061.0,139.0,190.0,48.0,1.0,378.0,127.0,144.0,119.0,0.0,390.0,768.0,72.4
7,Rec Dept,Sumter,2667.0,44.0,187.0,61.0,0.0,292.0,258.0,699.0,481.0,1.0,1439.0,1731.0,64.9
8,Reese Park,Sumter,3064.0,57.0,216.0,85.0,0.0,358.0,243.0,689.0,433.0,0.0,1365.0,1723.0,56.2
