,Precinct,County,Registered Voters,"Hubert Owens, Jr. (Rep)_Election Day Votes","Hubert Owens, Jr. (Rep)_Advanced Voting Votes","Hubert Owens, Jr. (Rep)_Absentee by Mail Votes","Hubert Owens, Jr. (Rep)_Provisional Votes","Hubert Owens, Jr. (Rep)_Choice Total",Dar'Shun Kendrick (I) (Dem)_Election Day Votes,Dar'Shun Kendrick (I) (Dem)_Advanced Voting Votes,Dar'Shun Kendrick (I) (Dem)_Absentee by Mail Votes,Dar'Shun Kendrick (I) (Dem)_Provisional Votes,Dar'Shun Kendrick (I) (Dem)_Choice Total,Total,calc_participation
7,Princeton Elem,DeKalb,2376.0,1.0,0.0,0.0,0.0,1.0,7.0,17.0,9.0,0.0,33.0,34.0,1.4
8,Rock Chapel Elem,DeKalb,2910.0,11.0,39.0,21.0,0.0,71.0,213.0,1103.0,509.0,5.0,1830.0,1901.0,65.3
9,Rockbridge Road,DeKalb,3965.0,32.0,61.0,35.0,0.0,128.0,281.0,1464.0,961.0,5.0,2711.0,2839.0,71.6
10,Rock Chapel Road,DeKalb,4178.0,32.0,112.0,78.0,1.0,223.0,236.0,1577.0,788.0,11.0,2612.0,2835.0,67.9
11,South Deshon,DeKalb,3470.0,23.0,44.0,25.0,0.0,92.0,247.0,1258.0,624.0,5.0,2134.0,2226.0,64.1
0,ROCKBRIDGE A,Gwinnett,3987.0,101.0,276.0,155.0,0.0,532.0,262.0,1268.0,637.0,0.0,2167.0,2699.0,67.7
1,BAYCREEK B,Gwinnett,5969.0,261.0,638.0,283.0,3.0,1185.0,426.0,1725.0,789.0,5.0,2945.0,4130.0,69.2
2,GARNERS D,Gwinnett,3490.0,56.0,113.0,67.0,0.0,236.0,124.0,542.0,301.0,0.0,967.0,1203.0,34.5
3,ROCKBRIDGE C,Gwinnett,5125.0,122.0,309.0,177.0,0.0,608.0,279.0,1576.0,903.0,3.0,2761.0,3369.0,65.7
4,ROCKBRIDGE D,Gwinnett,3642.0,70.0,375.0,194.0,1.0,640.0,201.0,1159.0,618.0,4.0,1982.0,2622.0,72.0
5,ROCKBRIDGE F,Gwinnett,5795.0,81.0,428.0,208.0,1.0,718.0,307.0,2150.0,859.0,4.0,3320.0,4038.0,69.7
6,ROCKBRIDGE G,Gwinnett,5799.0,130.0,393.0,205.0,2.0,730.0,391.0,1847.0,928.0,10.0,3176.0,3906.0,67.4
