,Precinct,County,Registered Voters,"Michael """"Mike"""" Thurmond (I) (Dem)_Election Day Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Advanced Voting Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Absentee by Mail Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Provisional Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Choice Total",Total,calc_participation
0,Allgood Elem,DeKalb,2858.0,258.0,896.0,611.0,3.0,1768.0,1768.0,61.9
121,North Hairston,DeKalb,2329.0,231.0,644.0,421.0,8.0,1304.0,1304.0,56.0
122,Northlake,DeKalb,1509.0,133.0,456.0,407.0,1.0,997.0,997.0,66.1
123,North Peachtree,DeKalb,1916.0,156.0,525.0,304.0,5.0,990.0,990.0,51.7
124,Oak Grove Elem,DeKalb,2253.0,172.0,689.0,594.0,0.0,1455.0,1455.0,64.6
125,Oakcliff Elem,DeKalb,2125.0,274.0,464.0,292.0,9.0,1039.0,1039.0,48.9
126,Oakhurst,DeKalb,2398.0,108.0,1044.0,691.0,2.0,1845.0,1845.0,76.9
127,Oak View Elem,DeKalb,5011.0,356.0,1722.0,742.0,18.0,2838.0,2838.0,56.6
128,Peachcrest,DeKalb,2458.0,181.0,634.0,441.0,4.0,1260.0,1260.0,51.3
129,Peachtree Middle,DeKalb,3502.0,243.0,1203.0,598.0,6.0,2050.0,2050.0,58.5
120,North Decatur,DeKalb,2166.0,121.0,632.0,515.0,12.0,1280.0,1280.0,59.1
130,Princeton Elem,DeKalb,2376.0,168.0,866.0,456.0,5.0,1495.0,1495.0,62.9
132,Pleasantdale Road,DeKalb,4538.0,434.0,1179.0,598.0,9.0,2220.0,2220.0,48.9
133,Ponce de Leon,DeKalb,3766.0,123.0,903.0,830.0,13.0,1869.0,1869.0,49.6
134,Panola,DeKalb,1586.0,140.0,478.0,326.0,2.0,946.0,946.0,59.6
135,Panola Way Elem,DeKalb,2252.0,203.0,587.0,322.0,21.0,1133.0,1133.0,50.3
136,Piney Grove,DeKalb,2018.0,165.0,533.0,342.0,7.0,1047.0,1047.0,51.9
137,Panola Road,DeKalb,2884.0,192.0,1024.0,574.0,8.0,1798.0,1798.0,62.3
138,Rainbow Elem,DeKalb,3768.0,262.0,1211.0,847.0,9.0,2329.0,2329.0,61.8
139,Redan Elem,DeKalb,3020.0,204.0,1155.0,589.0,8.0,1956.0,1956.0,64.8
140,Rehoboth,DeKalb,1813.0,103.0,493.0,559.0,3.0,1158.0,1158.0,63.9
131,Pine Lake,DeKalb,632.0,243.0,137.0,70.0,0.0,450.0,450.0,71.2
141,Rockbridge Elem,DeKalb,3595.0,315.0,947.0,518.0,17.0,1797.0,1797.0,50.0
119,Miller Grove High,DeKalb,3470.0,283.0,976.0,453.0,10.0,1722.0,1722.0,49.6
117,Miller Grove Road,DeKalb,2151.0,184.0,744.0,501.0,4.0,1433.0,1433.0,66.6
97,Miller-Eldridge L Miller Elem,DeKalb,3455.0,309.0,956.0,714.0,7.0,1986.0,1986.0,57.5
98,McNair High,DeKalb,4160.0,275.0,1413.0,945.0,6.0,2639.0,2639.0,63.4
99,Marbut Elem,DeKalb,4234.0,323.0,1418.0,630.0,19.0,2390.0,2390.0,56.4
100,McNair,DeKalb,2794.0,186.0,825.0,603.0,5.0,1619.0,1619.0,57.9
101,McLendon,DeKalb,3607.0,188.0,1050.0,888.0,10.0,2136.0,2136.0,59.2
102,McWilliams,DeKalb,2517.0,151.0,983.0,556.0,4.0,1694.0,1694.0,67.3
103,Medlock,DeKalb,2208.0,149.0,706.0,666.0,2.0,1523.0,1523.0,69.0
104,Midvale Elem,DeKalb,2747.0,165.0,869.0,673.0,3.0,1710.0,1710.0,62.2
105,Miller Grove,DeKalb,4747.0,348.0,1395.0,692.0,15.0,2450.0,2450.0,51.6
118,Midvale Road,DeKalb,1832.0,153.0,649.0,333.0,2.0,1137.0,1137.0,62.1
106,Montclair Elem,DeKalb,2194.0,222.0,657.0,242.0,8.0,1129.0,1129.0,51.5
108,Meadowview,DeKalb,3511.0,229.0,997.0,768.0,11.0,2005.0,2005.0,57.1
109,Memorial South,DeKalb,3138.0,245.0,712.0,379.0,19.0,1355.0,1355.0,43.2
110,Midway,DeKalb,3139.0,183.0,759.0,628.0,7.0,1577.0,1577.0,50.2
111,McNair Academy,DeKalb,1900.0,137.0,615.0,444.0,5.0,1201.0,1201.0,63.2
112,Mount Vernon East,DeKalb,2651.0,177.0,911.0,479.0,3.0,1570.0,1570.0,59.2
113,Mathis-Bob Mathis Elem,DeKalb,2789.0,224.0,958.0,716.0,5.0,1903.0,1903.0,68.2
114,Mount Vernon West,DeKalb,2303.0,110.0,862.0,432.0,9.0,1413.0,1413.0,61.4
115,Metropolitan,DeKalb,3405.0,179.0,1359.0,738.0,10.0,2286.0,2286.0,67.1
116,Montgomery Elem,DeKalb,2446.0,166.0,817.0,538.0,5.0,1526.0,1526.0,62.4
107,Montreal,DeKalb,2586.0,202.0,830.0,521.0,2.0,1555.0,1555.0,60.1
96,Livsey Elem,DeKalb,1350.0,84.0,484.0,306.0,0.0,874.0,874.0,64.7
142,Rock Chapel Elem,DeKalb,2910.0,212.0,1111.0,512.0,7.0,1842.0,1842.0,63.3
144,Redan-Trotti Library,DeKalb,3990.0,272.0,1272.0,751.0,21.0,2316.0,2316.0,58.0
169,Stephenson Middle,DeKalb,3822.0,295.0,1405.0,786.0,2.0,2488.0,2488.0,65.1
170,South Hairston,DeKalb,3814.0,355.0,1095.0,634.0,11.0,2095.0,2095.0,54.9
171,Stephenson High,DeKalb,3555.0,261.0,1198.0,809.0,7.0,2275.0,2275.0,64.0
172,Stonecrest Library,DeKalb,3720.0,214.0,1531.0,544.0,11.0,2300.0,2300.0,61.8
173,Snapfinger Road,DeKalb,4872.0,216.0,2217.0,1070.0,9.0,3512.0,3512.0,72.1
174,Terry Mill,DeKalb,2808.0,226.0,966.0,598.0,5.0,1795.0,1795.0,63.9
175,Toney Elem,DeKalb,1729.0,154.0,466.0,360.0,6.0,986.0,986.0,57.0
176,Tucker Library,DeKalb,3506.0,142.0,1242.0,731.0,4.0,2119.0,2119.0,60.4
177,Tilly Mill Road,DeKalb,1552.0,122.0,499.0,295.0,0.0,916.0,916.0,59.0
168,Snapfinger Road S,DeKalb,1960.0,161.0,721.0,437.0,3.0,1322.0,1322.0,67.4
178,Tucker,DeKalb,2932.0,134.0,971.0,606.0,6.0,1717.0,1717.0,58.6
180,Wadsworth,DeKalb,3159.0,279.0,878.0,659.0,10.0,1826.0,1826.0,57.8
181,Wesley Chapel Library,DeKalb,2922.0,196.0,1115.0,719.0,7.0,2037.0,2037.0,69.7
182,Woodrow Road,DeKalb,3493.0,249.0,1100.0,493.0,12.0,1854.0,1854.0,53.1
183,Winnona Park,DeKalb,2020.0,52.0,878.0,569.0,2.0,1501.0,1501.0,74.3
184,Woodridge Elem,DeKalb,3851.0,324.0,1034.0,762.0,12.0,2132.0,2132.0,55.4
185,Warren Tech,DeKalb,1364.0,174.0,362.0,215.0,4.0,755.0,755.0,55.4
186,Woodward,DeKalb,3193.0,170.0,992.0,811.0,2.0,1975.0,1975.0,61.9
187,White Oak,DeKalb,2951.0,314.0,729.0,424.0,7.0,1474.0,1474.0,49.9
188,Winters Chapel,DeKalb,1434.0,109.0,443.0,328.0,2.0,882.0,882.0,61.5
179,Valley Brook,DeKalb,1037.0,121.0,305.0,248.0,6.0,680.0,680.0,65.6
143,Rowland Elem,DeKalb,3765.0,289.0,916.0,592.0,9.0,1806.0,1806.0,48.0
167,Snapfinger Road N,DeKalb,2705.0,240.0,694.0,474.0,6.0,1414.0,1414.0,52.3
165,Stone Mtn Champion,DeKalb,3098.0,303.0,775.0,472.0,10.0,1560.0,1560.0,50.4
145,Rockbridge Road,DeKalb,3965.0,300.0,1485.0,972.0,6.0,2763.0,2763.0,69.7
146,Rowland Road,DeKalb,2080.0,187.0,591.0,417.0,7.0,1202.0,1202.0,57.8
147,Redan Road,DeKalb,2932.0,230.0,902.0,508.0,11.0,1651.0,1651.0,56.3
148,Rock Chapel Road,DeKalb,4178.0,254.0,1610.0,812.0,19.0,2695.0,2695.0,64.5
149,Redan Middle,DeKalb,2496.0,153.0,864.0,527.0,5.0,1549.0,1549.0,62.1
150,Sagamore Hills Elem,DeKalb,2925.0,193.0,919.0,861.0,0.0,1973.0,1973.0,67.5
151,Scott,DeKalb,2805.0,120.0,834.0,883.0,1.0,1838.0,1838.0,65.5
152,Shaw-Robert Shaw Elem,DeKalb,2892.0,253.0,864.0,584.0,3.0,1704.0,1704.0,58.9
153,Stone Mountain Elem,DeKalb,2338.0,158.0,528.0,593.0,3.0,1282.0,1282.0,54.8
166,Stone Mtn,DeKalb,1711.0,182.0,381.0,313.0,2.0,878.0,878.0,51.3
154,Silver Lake,DeKalb,4979.0,232.0,1554.0,945.0,3.0,2734.0,2734.0,54.9
156,Snapfinger Elem,DeKalb,1894.0,164.0,609.0,503.0,0.0,1276.0,1276.0,67.4
157,Smoke Rise,DeKalb,2108.0,150.0,676.0,513.0,1.0,1340.0,1340.0,63.6
158,Stone Mtn Middle,DeKalb,3247.0,290.0,613.0,325.0,16.0,1244.0,1244.0,38.3
159,Stone Mill Elem,DeKalb,3714.0,344.0,676.0,458.0,14.0,1492.0,1492.0,40.2
160,Shadow Rock Elem,DeKalb,4347.0,289.0,1569.0,1028.0,12.0,2898.0,2898.0,66.7
161,Stoneview Elem,DeKalb,1988.0,164.0,490.0,250.0,10.0,914.0,914.0,46.0
162,Salem Middle,DeKalb,3519.0,222.0,1399.0,842.0,6.0,2469.0,2469.0,70.2
163,Shamrock,DeKalb,1600.0,147.0,477.0,479.0,4.0,1107.0,1107.0,69.2
164,South Deshon,DeKalb,3470.0,257.0,1268.0,635.0,11.0,2171.0,2171.0,62.6
155,Skyland,DeKalb,2100.0,178.0,684.0,380.0,6.0,1248.0,1248.0,59.4
189,Wynbrooke Elem,DeKalb,3496.0,284.0,1324.0,817.0,13.0,2438.0,2438.0,69.7
95,Lithonia High,DeKalb,3610.0,345.0,1084.0,537.0,13.0,1979.0,1979.0,54.8
93,Lithonia,DeKalb,1730.0,240.0,397.0,217.0,2.0,856.0,856.0,49.5
25,Candler-Murphey Candler Elem,DeKalb,3712.0,300.0,1440.0,655.0,6.0,2401.0,2401.0,64.7
26,Chapel Hill Elem,DeKalb,3349.0,265.0,1216.0,699.0,7.0,2187.0,2187.0,65.3
27,Chesnut Elem,DeKalb,2363.0,221.0,818.0,375.0,1.0,1415.0,1415.0,59.9
28,Clairemont West,DeKalb,3264.0,143.0,1195.0,1064.0,4.0,2406.0,2406.0,73.7
29,Clairmont Road,DeKalb,3223.0,195.0,902.0,928.0,5.0,2030.0,2030.0,63.0
30,Clarkston,DeKalb,3878.0,393.0,961.0,426.0,13.0,1793.0,1793.0,46.2
31,Clifton,DeKalb,1731.0,125.0,527.0,333.0,5.0,990.0,990.0,57.2
32,Columbia Middle,DeKalb,2178.0,154.0,614.0,343.0,6.0,1117.0,1117.0,51.3
33,Coan Recreation Center,DeKalb,4230.0,206.0,1605.0,891.0,4.0,2706.0,2706.0,64.0
24,Chamblee,DeKalb,2231.0,154.0,748.0,403.0,3.0,1308.0,1308.0,58.6
34,Cross Keys High,DeKalb,2260.0,159.0,621.0,504.0,4.0,1288.0,1288.0,57.0
36,Candler,DeKalb,3537.0,248.0,1020.0,597.0,13.0,1878.0,1878.0,53.1
37,Cedar Grove Middle,DeKalb,1896.0,132.0,503.0,267.0,5.0,907.0,907.0,47.8
38,Cedar Grove South,DeKalb,3962.0,271.0,1588.0,750.0,6.0,2615.0,2615.0,66.0
39,Covington Hwy,DeKalb,995.0,53.0,102.0,61.0,6.0,222.0,222.0,22.3
40,Covington,DeKalb,2376.0,139.0,704.0,369.0,6.0,1218.0,1218.0,51.3
41,Clairemont East,DeKalb,3226.0,114.0,1142.0,1137.0,3.0,2396.0,2396.0,74.3
42,Coralwood,DeKalb,3153.0,160.0,1043.0,948.0,3.0,2154.0,2154.0,68.3
43,Candler Park,DeKalb,4018.0,121.0,1709.0,1228.0,2.0,3060.0,3060.0,76.2
44,Clarkston Community Center,DeKalb,2495.0,227.0,614.0,385.0,10.0,1236.0,1236.0,49.5
35,Crossroads,DeKalb,2898.0,246.0,875.0,636.0,8.0,1765.0,1765.0,60.9
45,Chamblee 2,DeKalb,3137.0,162.0,1166.0,626.0,0.0,1954.0,1954.0,62.3
23,Cedar Grove Elem,DeKalb,4097.0,306.0,1490.0,773.0,9.0,2578.0,2578.0,62.9
21,Canby Lane Elem,DeKalb,2004.0,221.0,544.0,437.0,8.0,1210.0,1210.0,60.4
1,Ashford Park Elem,DeKalb,2432.0,188.0,756.0,446.0,1.0,1391.0,1391.0,57.2
2,Austin,DeKalb,2538.0,198.0,792.0,536.0,1.0,1527.0,1527.0,60.2
3,Avondale,DeKalb,2906.0,299.0,984.0,778.0,1.0,2062.0,2062.0,71.0
4,Austin Drive,DeKalb,2536.0,208.0,644.0,455.0,13.0,1320.0,1320.0,52.1
5,Ashford Dunwoody Rd,DeKalb,2966.0,166.0,1072.0,602.0,4.0,1844.0,1844.0,62.2
6,Ashford Parkside,DeKalb,3664.0,203.0,1064.0,820.0,6.0,2093.0,2093.0,57.1
