,Precinct,County,Registered Voters,Yasmin Neal (Dem)_Election Day Votes,Yasmin Neal (Dem)_Advanced Voting Votes,Yasmin Neal (Dem)_Absentee by Mail Votes,Yasmin Neal (Dem)_Provisional Votes,Yasmin Neal (Dem)_Choice Total,Total,calc_participation
0,Forest Park 3,Clayton,2845.0,278.0,490.0,376.0,18.0,1162.0,1162.0,40.8
1,Forest Park 4,Clayton,1783.0,194.0,399.0,199.0,0.0,792.0,792.0,44.4
2,Forest Park 5,Clayton,3924.0,435.0,798.0,402.0,10.0,1645.0,1645.0,41.9
3,Forest Park 6,Clayton,1463.0,131.0,359.0,152.0,3.0,645.0,645.0,44.1
4,Lake City,Clayton,3217.0,161.0,415.0,126.0,2.0,704.0,704.0,21.9
5,Morrow 2,Clayton,2081.0,144.0,533.0,276.0,2.0,955.0,955.0,45.9
6,Oak 3,Clayton,2731.0,328.0,683.0,384.0,4.0,1399.0,1399.0,51.2
7,Oak 4,Clayton,4233.0,454.0,1133.0,496.0,5.0,2088.0,2088.0,49.3
8,Oak 5,Clayton,1795.0,180.0,403.0,86.0,6.0,675.0,675.0,37.6
9,Riverdale 1,Clayton,2330.0,182.0,846.0,434.0,6.0,1468.0,1468.0,63.0
10,Riverdale 3,Clayton,3650.0,347.0,1119.0,613.0,4.0,2083.0,2083.0,57.1
11,Riverdale 8,Clayton,2895.0,257.0,918.0,617.0,5.0,1797.0,1797.0,62.1
12,Riverdale 10,Clayton,3176.0,339.0,687.0,299.0,8.0,1333.0,1333.0,42.0
13,Riverdale 11,Clayton,1881.0,174.0,626.0,318.0,1.0,1119.0,1119.0,59.5
