,Precinct,County,Registered Voters,Lori Todd Boyen (I) (Rep)_Election Day Votes,Lori Todd Boyen (I) (Rep)_Advanced Voting Votes,Lori Todd Boyen (I) (Rep)_Absentee by Mail Votes,Lori Todd Boyen (I) (Rep)_Provisional Votes,Lori Todd Boyen (I) (Rep)_Choice Total,Total,calc_participation
0,Edgehill,Glascock,136.0,41.0,46.0,4.0,0.0,91.0,91.0,66.9
1,Gibson,Glascock,677.0,99.0,220.0,51.0,0.0,370.0,370.0,54.7
2,Mill,Glascock,778.0,130.0,282.0,58.0,0.0,470.0,470.0,60.4
3,Mitchell,Glascock,448.0,94.0,129.0,58.0,0.0,281.0,281.0,62.7
