,Precinct,County,Registered Voters,Dwight Langford (I)_Election Day Votes,Dwight Langford (I)_Advanced Voting Votes,Dwight Langford (I)_Absentee by Mail Votes,Dwight Langford (I)_Provisional Votes,Dwight Langford (I)_Choice Total,Total,calc_participation
0,Central Jackson,Jackson,16263.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
1,North Jackson,Jackson,12699.0,173.0,718.0,173.0,0.0,1064.0,1064.0,8.4
