,Precinct,County,Registered Voters,Brian L. Prince (I) (Dem)_Election Day Votes,Brian L. Prince (I) (Dem)_Advanced Voting Votes,Brian L. Prince (I) (Dem)_Absentee by Mail Votes,Brian L. Prince (I) (Dem)_Provisional Votes,Brian L. Prince (I) (Dem)_Choice Total,Total,calc_participation
9,Stapleton Crossroads,Jefferson,441.0,72.0,102.0,55.0,2.0,231.0,231.0,52.4
10,Matthews,Jefferson,621.0,134.0,117.0,58.0,0.0,309.0,309.0,49.8
11,Wrens,Jefferson,2870.0,457.0,643.0,354.0,2.0,1456.0,1456.0,50.7
12,Louisville,Jefferson,3899.0,326.0,1173.0,498.0,5.0,2002.0,2002.0,51.3
13,Stapleton,Jefferson,678.0,152.0,94.0,53.0,0.0,299.0,299.0,44.1
14,Avera,Jefferson,388.0,104.0,46.0,25.0,0.0,175.0,175.0,45.1
0,306,Richmond,3934.0,404.0,1003.0,684.0,2.0,2093.0,2093.0,53.2
1,309,Richmond,3340.0,343.0,1156.0,773.0,2.0,2274.0,2274.0,68.1
2,310,Richmond,5163.0,532.0,1546.0,1029.0,3.0,3110.0,3110.0,60.2
3,402,Richmond,3311.0,470.0,565.0,546.0,2.0,1583.0,1583.0,47.8
4,502,Richmond,4138.0,511.0,994.0,887.0,4.0,2396.0,2396.0,57.9
5,503,Richmond,4021.0,424.0,968.0,814.0,3.0,2209.0,2209.0,54.9
6,801,Richmond,523.0,94.0,48.0,70.0,0.0,212.0,212.0,40.5
7,801B,Richmond,523.0,122.0,34.0,61.0,0.0,217.0,217.0,41.5
8,803,Richmond,252.0,31.0,38.0,29.0,1.0,99.0,99.0,39.3
