,Precinct,County,Registered Voters,Donald Ayres (I)_Election Day Votes,Donald Ayres (I)_Advanced Voting Votes,Donald Ayres (I)_Absentee by Mail Votes,Donald Ayres (I)_Provisional Votes,Donald Ayres (I)_Choice Total,"Robert L. Hosack, Jr. (I)_Election Day Votes","Robert L. Hosack, Jr. (I)_Advanced Voting Votes","Robert L. Hosack, Jr. (I)_Absentee by Mail Votes","Robert L. Hosack, Jr. (I)_Provisional Votes","Robert L. Hosack, Jr. (I)_Choice Total",Total,calc_participation
143,Wade Green 02,Cobb,4718.0,519.0,1176.0,830.0,1.0,2526.0,502.0,1141.0,807.0,1.0,2451.0,4977.0,105.5
72,McEachern 01,Cobb,3549.0,231.0,957.0,677.0,0.0,1865.0,232.0,909.0,631.0,1.0,1773.0,3638.0,102.5
70,Macland 01,Cobb,4213.0,309.0,1040.0,661.0,0.0,2010.0,311.0,1004.0,673.0,1.0,1989.0,3999.0,94.9
19,Chalker 01,Cobb,6065.0,628.0,1344.0,851.0,1.0,2824.0,591.0,1353.0,828.0,1.0,2773.0,5597.0,92.3
20,Clarkdale 01,Cobb,1937.0,164.0,364.0,288.0,1.0,817.0,153.0,356.0,280.0,1.0,790.0,1607.0,83.0
21,Clarkdale 02,Cobb,5372.0,511.0,1209.0,734.0,2.0,2456.0,484.0,1156.0,711.0,2.0,2353.0,4809.0,89.5
22,Cooper 01,Cobb,5252.0,362.0,1028.0,721.0,1.0,2112.0,375.0,1020.0,708.0,1.0,2104.0,4216.0,80.3
23,Chestnut Ridge 01,Cobb,3162.0,380.0,804.0,902.0,0.0,2086.0,363.0,759.0,837.0,0.0,1959.0,4045.0,127.9
24,Dickerson 01,Cobb,2828.0,307.0,748.0,792.0,3.0,1850.0,293.0,702.0,744.0,3.0,1742.0,3592.0,127.0
18,Cheatham Hill 03,Cobb,4029.0,393.0,1216.0,913.0,1.0,2523.0,371.0,1174.0,899.0,1.0,2445.0,4968.0,123.3
25,Dobbins 01,Cobb,3024.0,247.0,398.0,314.0,10.0,969.0,245.0,393.0,289.0,6.0,933.0,1902.0,62.9
27,Dowell 01,Cobb,3197.0,333.0,875.0,635.0,3.0,1846.0,308.0,847.0,627.0,2.0,1784.0,3630.0,113.5
28,Dodgen 01,Cobb,2100.0,299.0,526.0,547.0,3.0,1375.0,275.0,499.0,530.0,3.0,1307.0,2682.0,127.7
29,Durham 01,Cobb,4256.0,428.0,1526.0,883.0,2.0,2839.0,393.0,1425.0,852.0,2.0,2672.0,5511.0,129.5
30,Davis 01,Cobb,2093.0,396.0,498.0,430.0,0.0,1324.0,363.0,485.0,420.0,0.0,1268.0,2592.0,123.8
31,Eastside 01,Cobb,3040.0,387.0,730.0,889.0,4.0,2010.0,355.0,686.0,841.0,3.0,1885.0,3895.0,128.1
32,Eastside 02,Cobb,4074.0,361.0,931.0,1214.0,1.0,2507.0,336.0,878.0,1138.0,1.0,2353.0,4860.0,119.3
26,Dobbins 02,Cobb,3984.0,408.0,846.0,458.0,2.0,1714.0,426.0,843.0,460.0,6.0,1735.0,3449.0,86.6
33,Elizabeth 01,Cobb,4065.0,426.0,820.0,479.0,4.0,1729.0,398.0,808.0,481.0,3.0,1690.0,3419.0,84.1
17,Cheatham Hill 02,Cobb,3085.0,366.0,854.0,729.0,0.0,1949.0,341.0,811.0,692.0,0.0,1844.0,3793.0,122.9
15,Blackwell 01,Cobb,2698.0,318.0,618.0,569.0,2.0,1507.0,309.0,574.0,537.0,2.0,1422.0,2929.0,108.6
1,Acworth 1B,Cobb,5214.0,530.0,1312.0,865.0,4.0,2711.0,488.0,1245.0,807.0,3.0,2543.0,5254.0,100.8
2,Acworth 1C,Cobb,5110.0,369.0,1299.0,801.0,4.0,2473.0,367.0,1284.0,765.0,5.0,2421.0,4894.0,95.8
3,Addison 01,Cobb,2444.0,295.0,556.0,625.0,0.0,1476.0,271.0,526.0,615.0,0.0,1412.0,2888.0,118.2
4,Austell 1A,Cobb,5329.0,378.0,1016.0,720.0,7.0,2121.0,361.0,1001.0,727.0,7.0,2096.0,4217.0,79.1
5,Bells Ferry 02,Cobb,3127.0,374.0,717.0,601.0,1.0,1693.0,358.0,682.0,575.0,1.0,1616.0,3309.0,105.8
6,Bells Ferry 03,Cobb,2436.0,386.0,483.0,382.0,2.0,1253.0,363.0,463.0,355.0,3.0,1184.0,2437.0,100.0
16,Chattahoochee 01,Cobb,5969.0,524.0,1428.0,845.0,3.0,2800.0,519.0,1443.0,822.0,5.0,2789.0,5589.0,93.6
7,Bells Ferry 04,Cobb,3646.0,539.0,864.0,660.0,1.0,2064.0,503.0,824.0,646.0,3.0,1976.0,4040.0,110.8
9,Big Shanty 02,Cobb,3236.0,396.0,827.0,650.0,2.0,1875.0,380.0,805.0,607.0,3.0,1795.0,3670.0,113.4
10,Baker 01,Cobb,4773.0,512.0,1246.0,658.0,5.0,2421.0,505.0,1237.0,637.0,4.0,2383.0,4804.0,100.6
11,Birney 01,Cobb,2727.0,243.0,470.0,481.0,8.0,1202.0,235.0,446.0,472.0,4.0,1157.0,2359.0,86.5
12,Birney 02,Cobb,3894.0,272.0,919.0,832.0,2.0,2025.0,254.0,881.0,796.0,2.0,1933.0,3958.0,101.6
13,Bryant 01,Cobb,2142.0,154.0,496.0,299.0,2.0,951.0,153.0,507.0,285.0,2.0,947.0,1898.0,88.6
14,Bryant 02,Cobb,6209.0,377.0,1042.0,504.0,1.0,1924.0,403.0,1103.0,506.0,2.0,2014.0,3938.0,63.4
8,Big Shanty 01,Cobb,2385.0,307.0,532.0,421.0,4.0,1264.0,292.0,523.0,405.0,5.0,1225.0,2489.0,104.4
34,Elizabeth 02,Cobb,2434.0,289.0,499.0,586.0,3.0,1377.0,277.0,496.0,554.0,2.0,1329.0,2706.0,111.2
35,Elizabeth 03,Cobb,2767.0,341.0,639.0,753.0,1.0,1734.0,321.0,603.0,732.0,1.0,1657.0,3391.0,122.6
36,Elizabeth 04,Cobb,3011.0,392.0,530.0,540.0,1.0,1463.0,374.0,522.0,532.0,0.0,1428.0,2891.0,96.0
56,Kemp 01,Cobb,1960.0,270.0,584.0,441.0,0.0,1295.0,256.0,551.0,419.0,0.0,1226.0,2521.0,128.6
57,Kemp 02,Cobb,4049.0,446.0,1138.0,906.0,3.0,2493.0,418.0,1071.0,869.0,4.0,2362.0,4855.0,119.9
58,Kemp 03,Cobb,3955.0,543.0,1298.0,769.0,1.0,2611.0,518.0,1236.0,721.0,0.0,2475.0,5086.0,128.6
59,Lassiter 01,Cobb,3647.0,497.0,957.0,901.0,0.0,2355.0,468.0,905.0,878.0,0.0,2251.0,4606.0,126.3
60,Lindley 01,Cobb,4797.0,343.0,1229.0,1018.0,0.0,2590.0,334.0,1182.0,1003.0,0.0,2519.0,5109.0,106.5
61,Lost Mountain 01,Cobb,3604.0,249.0,1299.0,752.0,1.0,2301.0,222.0,1220.0,733.0,1.0,2176.0,4477.0,124.2
55,Kell 01,Cobb,2006.0,349.0,435.0,437.0,1.0,1222.0,331.0,415.0,416.0,1.0,1163.0,2385.0,118.9
62,Lost Mountain 02,Cobb,4121.0,402.0,1617.0,830.0,0.0,2849.0,385.0,1502.0,793.0,0.0,2680.0,5529.0,134.2
64,Lost Mountain 04,Cobb,2629.0,273.0,884.0,542.0,1.0,1700.0,258.0,851.0,498.0,0.0,1607.0,3307.0,125.8
65,Mableton 01,Cobb,5127.0,287.0,1114.0,985.0,1.0,2387.0,280.0,1099.0,946.0,1.0,2326.0,4713.0,91.9
66,Mableton 02,Cobb,3330.0,271.0,537.0,488.0,0.0,1296.0,254.0,519.0,455.0,0.0,1228.0,2524.0,75.8
67,Mableton 03,Cobb,3010.0,266.0,626.0,589.0,2.0,1483.0,261.0,593.0,558.0,2.0,1414.0,2897.0,96.2
68,Mableton 04,Cobb,1581.0,157.0,373.0,401.0,0.0,931.0,150.0,354.0,381.0,0.0,885.0,1816.0,114.9
69,Mabry 01,Cobb,1656.0,263.0,457.0,399.0,4.0,1123.0,251.0,449.0,373.0,4.0,1077.0,2200.0,132.9
63,Lost Mountain 03,Cobb,5387.0,341.0,2034.0,1066.0,1.0,3442.0,327.0,1906.0,1027.0,2.0,3262.0,6704.0,124.4
54,Kennesaw 5A,Cobb,5855.0,692.0,1621.0,923.0,1.0,3237.0,682.0,1574.0,912.0,1.0,3169.0,6406.0,109.4
53,Kennesaw 4A,Cobb,3783.0,345.0,988.0,731.0,3.0,2067.0,329.0,944.0,710.0,2.0,1985.0,4052.0,107.1
52,Kennesaw 3A,Cobb,6477.0,505.0,1515.0,955.0,5.0,2980.0,517.0,1494.0,932.0,2.0,2945.0,5925.0,91.5
37,Elizabeth 05,Cobb,2884.0,386.0,660.0,673.0,1.0,1720.0,361.0,625.0,623.0,1.0,1610.0,3330.0,115.5
38,East Piedmont 01,Cobb,2627.0,348.0,536.0,481.0,0.0,1365.0,339.0,508.0,471.0,0.0,1318.0,2683.0,102.1
39,Fair Oaks 02,Cobb,5779.0,508.0,955.0,855.0,2.0,2320.0,506.0,952.0,827.0,4.0,2289.0,4609.0,79.8
