,Precinct,County,Registered Voters,Harrison Lance (Rep)_Election Day Votes,Harrison Lance (Rep)_Advanced Voting Votes,Harrison Lance (Rep)_Absentee by Mail Votes,Harrison Lance (Rep)_Provisional Votes,Harrison Lance (Rep)_Choice Total,"Jennifer """"Jen"""" Jordan (I) (Dem)_Election Day Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Advanced Voting Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Absentee by Mail Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Provisional Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Choice Total",Total,calc_participation
51,Vinings 04,Cobb,3405.0,406.0,442.0,478.0,1.0,1327.0,210.0,525.0,560.0,0.0,1295.0,2622.0,77.0
32,Chattahoochee 01,Cobb,5969.0,252.0,491.0,255.0,2.0,1000.0,435.0,1416.0,967.0,2.0,2820.0,3820.0,64.0
33,Dobbins 01,Cobb,3024.0,110.0,134.0,111.0,2.0,357.0,245.0,419.0,345.0,3.0,1012.0,1369.0,45.3
34,Dobbins 02,Cobb,3984.0,191.0,297.0,132.0,1.0,621.0,358.0,857.0,542.0,3.0,1760.0,2381.0,59.8
35,Marietta 1A,Cobb,4468.0,43.0,49.0,26.0,0.0,118.0,150.0,304.0,159.0,3.0,616.0,734.0,16.4
36,Marietta 7A,Cobb,3745.0,39.0,63.0,21.0,0.0,123.0,124.0,388.0,208.0,2.0,722.0,845.0,22.6
37,Nickajack 01,Cobb,4889.0,147.0,405.0,226.0,1.0,779.0,323.0,1359.0,981.0,3.0,2666.0,3445.0,70.5
39,Oregon 03,Cobb,5713.0,20.0,39.0,20.0,0.0,79.0,46.0,37.0,25.0,2.0,110.0,189.0,3.3
40,Smyrna 1A,Cobb,4152.0,164.0,207.0,176.0,1.0,548.0,393.0,822.0,673.0,3.0,1891.0,2439.0,58.7
38,Oakdale 01,Cobb,3944.0,242.0,445.0,386.0,0.0,1073.0,128.0,629.0,776.0,1.0,1534.0,2607.0,66.1
42,Smyrna 3A,Cobb,4573.0,208.0,458.0,271.0,1.0,938.0,248.0,1028.0,911.0,2.0,2189.0,3127.0,68.4
43,Smyrna 3B,Cobb,2496.0,148.0,345.0,212.0,1.0,706.0,132.0,436.0,452.0,1.0,1021.0,1727.0,69.2
