,Precinct,County,Registered Voters,Brett Harrell (I) (Rep)_Election Day Votes,Brett Harrell (I) (Rep)_Advanced Voting Votes,Brett Harrell (I) (Rep)_Absentee by Mail Votes,Brett Harrell (I) (Rep)_Provisional Votes,Brett Harrell (I) (Rep)_Choice Total,Rebecca Mitchell (Dem)_Election Day Votes,Rebecca Mitchell (Dem)_Advanced Voting Votes,Rebecca Mitchell (Dem)_Absentee by Mail Votes,Rebecca Mitchell (Dem)_Provisional Votes,Rebecca Mitchell (Dem)_Choice Total,Total,calc_participation
0,BAYCREEK A,Gwinnett,2720.0,245.0,557.0,307.0,0.0,1109.0,134.0,495.0,370.0,0.0,999.0,2108.0,77.5
1,CATES A,Gwinnett,2387.0,175.0,474.0,306.0,0.0,955.0,111.0,352.0,290.0,0.0,753.0,1708.0,71.6
2,LAWRENCEVILLE B,Gwinnett,5097.0,136.0,626.0,290.0,0.0,1052.0,213.0,1482.0,714.0,0.0,2409.0,3461.0,67.9
3,CATES C,Gwinnett,2903.0,168.0,303.0,208.0,0.0,679.0,188.0,774.0,402.0,0.0,1364.0,2043.0,70.4
4,CATES D,Gwinnett,3755.0,237.0,635.0,338.0,0.0,1210.0,183.0,819.0,566.0,0.0,1568.0,2778.0,74.0
5,CATES E,Gwinnett,2942.0,218.0,571.0,337.0,1.0,1127.0,147.0,588.0,454.0,0.0,1189.0,2316.0,78.7
6,CATES F,Gwinnett,1787.0,213.0,316.0,237.0,0.0,766.0,105.0,294.0,216.0,1.0,616.0,1382.0,77.3
7,CATES H,Gwinnett,3924.0,109.0,409.0,177.0,0.0,695.0,311.0,941.0,502.0,0.0,1754.0,2449.0,62.4
8,CATES J,Gwinnett,3478.0,174.0,295.0,173.0,1.0,643.0,82.0,401.0,301.0,0.0,784.0,1427.0,41.0
9,CATES L,Gwinnett,4185.0,226.0,606.0,331.0,0.0,1163.0,263.0,953.0,553.0,1.0,1770.0,2933.0,70.1
10,CATES N,Gwinnett,2567.0,244.0,572.0,365.0,1.0,1182.0,123.0,379.0,288.0,0.0,790.0,1972.0,76.8
11,BAYCREEK E,Gwinnett,3265.0,193.0,447.0,194.0,1.0,835.0,220.0,748.0,413.0,1.0,1382.0,2217.0,67.9
12,BAYCREEK J,Gwinnett,4567.0,196.0,526.0,246.0,0.0,968.0,309.0,1284.0,639.0,1.0,2233.0,3201.0,70.1
