,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
1453,3A1,Appling,793.0,150.0,197.0,48.0,0.0,395.0,72.0,83.0,17.0,0.0,172.0,567.0,71.5
1450,1B,Appling,1309.0,173.0,323.0,105.0,0.0,601.0,79.0,177.0,45.0,0.0,301.0,902.0,68.9
1451,1C,Appling,848.0,117.0,229.0,54.0,2.0,402.0,59.0,108.0,14.0,0.0,181.0,583.0,68.8
1452,2,Appling,2251.0,189.0,475.0,226.0,2.0,892.0,76.0,207.0,96.0,0.0,379.0,1271.0,56.5
1458,5B,Appling,1126.0,159.0,297.0,85.0,3.0,544.0,56.0,132.0,34.0,0.0,222.0,766.0,68.0
1457,5A,Appling,1147.0,107.0,306.0,93.0,2.0,508.0,38.0,161.0,27.0,1.0,227.0,735.0,64.1
1456,4D,Appling,1493.0,193.0,451.0,142.0,0.0,786.0,46.0,208.0,39.0,1.0,294.0,1080.0,72.3
1455,4B,Appling,866.0,169.0,193.0,51.0,0.0,413.0,61.0,110.0,18.0,0.0,189.0,602.0,69.5
1454,3C,Appling,1566.0,111.0,487.0,156.0,0.0,754.0,37.0,197.0,54.0,0.0,288.0,1042.0,66.5
2230,Pearson County,Atkinson,1802.0,177.0,511.0,81.0,0.0,769.0,69.0,216.0,16.0,0.0,301.0,1070.0,59.4
2233,Pearson City,Atkinson,944.0,91.0,211.0,47.0,0.0,349.0,27.0,88.0,14.0,0.0,129.0,478.0,50.6
2232,Willacoochee,Atkinson,1311.0,237.0,286.0,63.0,0.0,586.0,83.0,105.0,16.0,0.0,204.0,790.0,60.3
2231,Axson,Atkinson,742.0,150.0,170.0,19.0,0.0,339.0,48.0,71.0,5.0,1.0,125.0,464.0,62.5
2123,Douglas,Bacon,6720.0,383.0,2347.0,453.0,1.0,3184.0,118.0,643.0,139.0,1.0,901.0,4085.0,60.8
1225,Newton,Baker,1070.0,75.0,256.0,114.0,0.0,445.0,32.0,111.0,46.0,0.0,189.0,634.0,59.3
1224,Milford,Baker,270.0,47.0,48.0,27.0,0.0,122.0,29.0,10.0,5.0,0.0,44.0,166.0,61.5
1223,Hoggards Mill,Baker,351.0,58.0,58.0,38.0,0.0,154.0,19.0,20.0,7.0,0.0,46.0,200.0,57.0
1222,Elmodel,Baker,401.0,48.0,76.0,46.0,0.0,170.0,21.0,41.0,30.0,1.0,93.0,263.0,65.6
1221,Anna,Baker,166.0,37.0,18.0,8.0,1.0,64.0,22.0,10.0,8.0,0.0,40.0,104.0,62.7
948,City Hall Annex,Baldwin,957.0,87.0,182.0,120.0,1.0,390.0,14.0,33.0,25.0,0.0,72.0,462.0,48.3
949,Boddie,Baldwin,1381.0,129.0,248.0,136.0,0.0,513.0,39.0,56.0,30.0,0.0,125.0,638.0,46.2
950,Courthouse,Baldwin,506.0,47.0,121.0,64.0,0.0,232.0,7.0,22.0,9.0,0.0,38.0,270.0,53.4
947,South Milledgeville,Baldwin,1259.0,98.0,316.0,159.0,0.0,573.0,26.0,73.0,38.0,0.0,137.0,710.0,56.4
959,West Hardwick,Baldwin,2903.0,227.0,673.0,426.0,0.0,1326.0,84.0,192.0,98.0,0.0,374.0,1700.0,58.6
951,Fire Dept,Baldwin,1481.0,98.0,383.0,222.0,0.0,703.0,26.0,88.0,57.0,0.0,171.0,874.0,59.0
952,North Milledgeville,Baldwin,2211.0,215.0,753.0,310.0,0.0,1278.0,46.0,189.0,64.0,1.0,300.0,1578.0,71.4
953,Meriweather,Baldwin,2832.0,273.0,1069.0,385.0,0.0,1727.0,89.0,235.0,50.0,0.0,374.0,2101.0,74.2
954,East Baldwin,Baldwin,3826.0,329.0,1292.0,413.0,0.0,2034.0,119.0,357.0,101.0,0.0,577.0,2611.0,68.2
955,Scottsboro,Baldwin,1101.0,124.0,267.0,114.0,1.0,506.0,59.0,71.0,23.0,2.0,155.0,661.0,60.0
956,North Baldwin,Baldwin,3515.0,289.0,1392.0,460.0,0.0,2141.0,90.0,294.0,62.0,0.0,446.0,2587.0,73.6
957,West Baldwin,Baldwin,1862.0,199.0,565.0,241.0,0.0,1005.0,68.0,153.0,41.0,0.0,262.0,1267.0,68.0
958,East Hardwick,Baldwin,1313.0,109.0,214.0,150.0,0.0,473.0,55.0,50.0,46.0,0.0,151.0,624.0,47.5
