,Precinct,County,Registered Voters,Gloria S. Butler (I) (Dem)_Election Day Votes,Gloria S. Butler (I) (Dem)_Advanced Voting Votes,Gloria S. Butler (I) (Dem)_Absentee by Mail Votes,Gloria S. Butler (I) (Dem)_Provisional Votes,Gloria S. Butler (I) (Dem)_Choice Total,Total,calc_participation
21,Crossroads,DeKalb,2898.0,246.0,867.0,627.0,3.0,1743.0,1743.0,60.1
24,Miller-Eldridge L Miller Elem,DeKalb,3455.0,306.0,944.0,699.0,3.0,1952.0,1952.0,56.5
25,Marbut Elem,DeKalb,4234.0,321.0,1405.0,627.0,14.0,2367.0,2367.0,55.9
26,Miller Grove,DeKalb,4747.0,1.0,7.0,2.0,2.0,12.0,12.0,0.3
27,Princeton Elem,DeKalb,2376.0,162.0,844.0,443.0,1.0,1450.0,1450.0,61.0
28,Panola,DeKalb,1586.0,136.0,472.0,321.0,2.0,931.0,931.0,58.7
29,Panola Way Elem,DeKalb,2252.0,201.0,579.0,317.0,17.0,1114.0,1114.0,49.5
30,Panola Road,DeKalb,2884.0,18.0,133.0,81.0,0.0,232.0,232.0,8.0
31,Redan Elem,DeKalb,3020.0,202.0,1141.0,589.0,5.0,1937.0,1937.0,64.1
23,Glenwood Road,DeKalb,2293.0,198.0,542.0,396.0,3.0,1139.0,1139.0,49.7
32,Rock Chapel Elem,DeKalb,2910.0,214.0,1109.0,514.0,5.0,1842.0,1842.0,63.3
34,Rockbridge Road,DeKalb,3965.0,299.0,1469.0,958.0,8.0,2734.0,2734.0,69.0
35,Redan Road,DeKalb,2932.0,228.0,900.0,506.0,10.0,1644.0,1644.0,56.1
36,Redan Middle,DeKalb,2496.0,153.0,862.0,512.0,3.0,1530.0,1530.0,61.3
37,Shadow Rock Elem,DeKalb,4347.0,288.0,1559.0,1021.0,8.0,2876.0,2876.0,66.2
38,South Deshon,DeKalb,3470.0,257.0,1262.0,627.0,8.0,2154.0,2154.0,62.1
39,Stephenson Middle,DeKalb,3822.0,296.0,1397.0,777.0,0.0,2470.0,2470.0,64.6
40,Stephenson High,DeKalb,3555.0,254.0,1193.0,800.0,6.0,2253.0,2253.0,63.4
41,Woodridge Elem,DeKalb,3851.0,320.0,1022.0,737.0,9.0,2088.0,2088.0,54.2
33,Redan-Trotti Library,DeKalb,3990.0,270.0,1270.0,742.0,16.0,2298.0,2298.0,57.6
22,Glenhaven,DeKalb,1880.0,220.0,482.0,316.0,2.0,1020.0,1020.0,54.3
43,Young Road,DeKalb,1951.0,104.0,765.0,426.0,4.0,1299.0,1299.0,66.6
20,Austin Drive,DeKalb,2536.0,206.0,634.0,438.0,10.0,1288.0,1288.0,50.8
42,White Oak,DeKalb,2951.0,307.0,721.0,425.0,2.0,1455.0,1455.0,49.3
1,CATES C,Gwinnett,2903.0,259.0,911.0,476.0,1.0,1647.0,1647.0,56.7
2,BAYCREEK B,Gwinnett,5969.0,542.0,1998.0,904.0,6.0,3450.0,3450.0,57.8
3,ROCKBRIDGE B,Gwinnett,4177.0,359.0,1285.0,657.0,1.0,2302.0,2302.0,55.1
4,GARNERS B,Gwinnett,3178.0,232.0,972.0,557.0,2.0,1763.0,1763.0,55.5
5,GARNERS C,Gwinnett,2030.0,181.0,569.0,299.0,0.0,1049.0,1049.0,51.7
6,BERKSHIRE G,Gwinnett,2419.0,194.0,731.0,374.0,0.0,1299.0,1299.0,53.7
7,CATES H,Gwinnett,3924.0,338.0,1100.0,552.0,1.0,1991.0,1991.0,50.7
8,GARNERS D,Gwinnett,3490.0,283.0,1027.0,663.0,0.0,1973.0,1973.0,56.5
9,ROCKBRIDGE C,Gwinnett,5125.0,357.0,1847.0,1038.0,4.0,3246.0,3246.0,63.3
10,ROCKBRIDGE D,Gwinnett,3642.0,237.0,1289.0,672.0,5.0,2203.0,2203.0,60.5
12,ROCKBRIDGE E,Gwinnett,4638.0,467.0,1289.0,778.0,3.0,2537.0,2537.0,54.7
13,ROCKBRIDGE F,Gwinnett,5795.0,346.0,2296.0,902.0,4.0,3548.0,3548.0,61.2
14,BAYCREEK E,Gwinnett,3265.0,312.0,902.0,477.0,4.0,1695.0,1695.0,51.9
15,GARNERS F,Gwinnett,1796.0,147.0,489.0,308.0,2.0,946.0,946.0,52.7
16,ROCKBRIDGE G,Gwinnett,5799.0,453.0,1999.0,983.0,11.0,3446.0,3446.0,59.4
17,BAYCREEK F,Gwinnett,4608.0,391.0,1546.0,735.0,5.0,2677.0,2677.0,58.1
18,BAYCREEK G,Gwinnett,6241.0,456.0,2239.0,1001.0,0.0,3696.0,3696.0,59.2
19,BAYCREEK J,Gwinnett,4567.0,409.0,1486.0,713.0,3.0,2611.0,2611.0,57.2
11,CATES L,Gwinnett,4185.0,235.0,726.0,404.0,3.0,1368.0,1368.0,32.7
0,ROCKBRIDGE A,Gwinnett,3987.0,314.0,1373.0,692.0,0.0,2379.0,2379.0,59.7
