,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
0,Odum,Wayne,1260.0,205.0,303.0,62.0,0.0,570.0,113.0,233.0,57.0,0.0,403.0,973.0,77.2
1,Madray Springs,Wayne,1176.0,132.0,333.0,69.0,0.0,534.0,57.0,228.0,84.0,0.0,369.0,903.0,76.8
2,Oglethorpe,Wayne,1741.0,170.0,433.0,87.0,0.0,690.0,84.0,362.0,107.0,0.0,553.0,1243.0,71.4
3,Screven,Wayne,1849.0,336.0,371.0,76.0,2.0,785.0,175.0,303.0,93.0,0.0,571.0,1356.0,73.3
4,Empire,Wayne,1106.0,127.0,326.0,61.0,0.0,514.0,72.0,222.0,51.0,0.0,345.0,859.0,77.7
5,Red Hill,Wayne,1036.0,96.0,249.0,67.0,0.0,412.0,59.0,173.0,49.0,0.0,281.0,693.0,66.9
6,Altamaha,Wayne,2857.0,208.0,708.0,121.0,2.0,1039.0,88.0,484.0,155.0,1.0,728.0,1767.0,61.8
7,Gardi,Wayne,1123.0,174.0,199.0,64.0,1.0,438.0,133.0,161.0,75.0,1.0,370.0,808.0,72.0
8,VFW,Wayne,1145.0,70.0,240.0,104.0,0.0,414.0,32.0,149.0,56.0,1.0,238.0,652.0,56.9
9,Pine Street,Wayne,1140.0,93.0,310.0,78.0,0.0,481.0,33.0,150.0,59.0,0.0,242.0,723.0,63.4
10,Unity,Wayne,1905.0,161.0,477.0,127.0,0.0,765.0,78.0,329.0,136.0,0.0,543.0,1308.0,68.7
11,Rec Center,Wayne,1766.0,147.0,512.0,114.0,0.0,773.0,97.0,281.0,94.0,0.0,472.0,1245.0,70.5
