,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
0,Hartwell,Hart,6451.0,476.0,2190.0,885.0,1.0,3552.0,173.0,581.0,164.0,1.0,919.0,4471.0,69.3
1,Goldmine,Hart,1901.0,292.0,512.0,206.0,1.0,1011.0,101.0,180.0,34.0,0.0,315.0,1326.0,69.8
2,Cokesbury,Hart,1162.0,174.0,298.0,132.0,0.0,604.0,49.0,103.0,39.0,0.0,191.0,795.0,68.4
3,Reed Creek,Hart,2990.0,412.0,1108.0,432.0,0.0,1952.0,100.0,208.0,46.0,1.0,355.0,2307.0,77.2
4,Bowersville,Hart,1395.0,255.0,377.0,89.0,0.0,721.0,90.0,96.0,21.0,0.0,207.0,928.0,66.5
5,Shoal Creek,Hart,1656.0,305.0,479.0,209.0,0.0,993.0,80.0,115.0,25.0,0.0,220.0,1213.0,73.2
6,Bio,Hart,1374.0,209.0,412.0,141.0,0.0,762.0,60.0,149.0,25.0,0.0,234.0,996.0,72.5
