Precinct,County,Registered Voters,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_Choice Total,Total,
Colwell,Fannin,1105,282,325,153,0,760,760,
Fairplay,Fannin,1262,319,328,141,0,788,788,
Flinthill,Fannin,3202,679,841,401,1,1922,1922,
Hemptown,Fannin,1336,352,362,143,3,860,860,
Hothouse,Fannin,1290,271,398,164,7,840,840,
Mineral Bluff,Fannin,1817,350,602,259,0,1211,1211,
Mobile,Fannin,1160,314,302,147,0,763,763,
Morganton,Fannin,2067,475,613,266,2,1356,1356,
Noontootla,Fannin,839,185,244,161,0,590,590,
Skeniah,Fannin,331,119,64,48,2,233,233,
Sugar Creek,Fannin,2437,393,857,320,1,1571,1571,
Toccoa,Fannin,3553,500,1196,493,4,2193,2193,
