Precinct,County,Registered Voters,Jeannette Anderson (I) (Dem)_Election Day Votes,Jeannette Anderson (I) (Dem)_Advanced Voting Votes,Jeannette Anderson (I) (Dem)_Absentee by Mail Votes,Jeannette Anderson (I) (Dem)_Provisional Votes,Jeannette Anderson (I) (Dem)_Choice Total,Total,
Riddleville,Washington,561,135,108,93,1,337,337,
Warthen,Washington,742,197,131,126,1,455,455,
Tennille,Washington,2512,364,734,350,3,1451,1451,
Oconee,Washington,581,133,110,88,1,332,332,
Harrison,Washington,1005,250,214,122,1,587,587,
Davisboro,Washington,814,207,178,113,0,498,498,
Sandersville,Washington,6221,627,1954,1187,0,3768,3768,
Deepstep,Washington,554,163,94,69,1,327,327,
