Precinct,County,Registered Voters,Megan Cramer (Dem)_Election Day Votes,Megan Cramer (Dem)_Advanced Voting Votes,Megan Cramer (Dem)_Absentee by Mail Votes,Megan Cramer (Dem)_Provisional Votes,Megan Cramer (Dem)_Choice Total,Total,
Riddleville,Washington,561,111,102,92,1,306,306,
Warthen,Washington,742,180,116,124,1,421,421,
Tennille,Washington,2512,345,694,349,3,1391,1391,
Oconee,Washington,581,114,106,80,1,301,301,
Harrison,Washington,1005,229,194,117,1,541,541,
Davisboro,Washington,814,191,159,108,0,458,458,
Sandersville,Washington,6221,607,1799,1170,0,3576,3576,
Deepstep,Washington,554,144,86,65,1,296,296,
